Genomic bins	17119-05-25-243200085	17119-05-08-243200071	17119-05-35-243200067	17119-05-33-243200064	17119-05-16-243200072	17119-05-04-243200101	17119-05-28-243200078	17119-05-01-243200068	17119-05-38-243200077	17119-05-32-243200092	17119-05-15-243200093	17119-05-36-243200079	17119-05-02-243200066	17119-05-23-243200073	17119-05-12-243200081	17119-05-22-243200094	17119-05-20-243200063	17119-05-26-243200098	17119-05-30-243200082	17119-05-14-243200089	17119-05-06-243200069	17119-05-09-243200070	17119-05-13-243200076	17119-05-05-243200087	17119-05-07-243200099	17119-05-40-243200090	17119-05-11-243200091	17119-05-21-243200075	17119-05-27-243200083	17119-05-37-243200074	17119-05-24-243200088	17119-05-34-243200097	17119-05-31-243200080	17119-05-19-243200062	17119-05-18-243200100	17119D-05-29-243200065	17119-05-39-243200084	17119-05-10-243200096	17119-05-17-243200086	17119-05-03-243200095
sinASSsinBIN_bin.411	0.0	0.0	0.0	0.0	0.102066	0.0	0.0	1.266928	0.0	0.0	0.0	0.0	1.326667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.230071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.925394	0.0	0.0
sinASSsinBIN_bin.585	0.007574	0.0	0.036431	3.480047	0.0	0.0	0.015772	0.0	0.280222	0.008691	0.009975	0.024729	0.0	0.0	0.0	0.0	0.0	0.01664	0.407752	0.0	0.002917	0.0	0.0	0.0	0.0	0.00268	0.0	0.0	0.033172	0.029932	0.0	0.045594	0.012943	0.0	0.0	0.037312	0.011632	0.0	0.0	0.397761
sinASSsinBIN_bin.142	37.838541	0.0	0.044446	0.075404	0.0	0.0	0.104732	0.025383	0.015116	0.009796	0.0	0.066338	0.0	0.0	0.0	0.0	0.0	0.046796	0.014019	0.0	0.0	0.035089	0.0	0.0	0.0	17.633638	0.0	0.0	0.097399	0.066588	0.0	0.078371	0.0	0.0	0.0	0.0	0.017877	0.0	0.0	0.0
sinASSsinBIN_bin.424	0.0	3.736159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.043484	0.0	0.067325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.469075	0.0	7.125588	0.0	0.401644	0.0	0.0	0.289009	0.266811	0.0	0.0	1.136211	0.0	0.0	0.0
sinASSsinBIN_bin.310	0.0	0.0	0.057315	0.065948	0.0	0.0	0.0	0.0	0.015033	0.0	0.0	0.062395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.270815	0.0	0.0	0.0	0.071876	0.0	0.062748	0.0	0.0	0.0	0.0	0.023817	0.0	0.0	0.0
sinASSsinBIN_bin.282	0.0	0.309138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.886439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38488	0.208214	0.0	7.190067	0.0	0.0	0.0	0.0	0.0	0.172945	0.017703	0.0	0.086182	0.0
sinASSsinBIN_bin.456	0.774315	0.0	1e-06	0.0	0.0	0.0	0.000564	0.0	0.031849	0.010284	4.1e-05	2.571688	0.0	0.0	0.0	0.014594	0.034625	0.0	0.0	6e-06	0.308963	0.0	0.0	0.0	0.0	0.006581	0.0	0.0	0.0	0.08687	3e-06	0.004774	0.004219	0.0	1.426577	5e-06	0.001677	0.0	0.000158	0.0
sinASSsinBIN_bin.370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.642558	0.0	0.0	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.112	0.010522	0.0	0.0	1e-05	0.0	0.0	12.544326	0.0	0.0	0.0	2.60185	7.461757	0.0	0.0	10.792243	0.0	0.266911	0.058463	0.061259	0.0	0.0	0.18277	9e-06	0.0	0.0	0.16019	0.0	0.0	17.711666	0.0	0.0	0.075639	32.071398	0.0	0.095491	1.1e-05	0.0	0.0	0.0	1.179475
sinASSsinBIN_bin.565	0.0	0.32904	0.017645	0.0	0.0	0.0	0.0	0.0	0.0	2.553191	0.0	0.323696	0.0	3.75266	0.0	0.0	0.0	0.0	0.0	3.684993	0.0	0.0	0.0	0.0	0.0	0.030044	0.036568	0.0	0.0	0.294117	0.0	0.038787	5.164606	0.0	0.0	2.338518	0.006305	0.0	0.0	0.0
