Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-24-243200088_1.fastq	bin_178	0.00014363107	0.00007933456	241	3037768	6
17119-05-24-243200088_1.fastq	bin_577	0.006178375	0.0058468375	13242	2264814	93
17119-05-24-243200088_1.fastq	bin_154	1.3852018	0.22555251	486976	2159036	19648
17119-05-24-243200088_1.fastq	bin_265	0.009973933	0.003575336	8441	2360897	188
17119-05-24-243200088_1.fastq	bin_183	0.0094663715	0.00870079	18996	2183250	136
17119-05-24-243200088_1.fastq	bin_85	1.7819754	0.030931536	128994	4170307	64547
17119-05-24-243200088_1.fastq	bin_360	0.000464215	0.0004497037	574	1276396	6
17119-05-24-243200088_1.fastq	bin_585	0.0042282497	0.0028251766	5900	2088365	76
17119-05-24-243200088_1.fastq	bin_55	0.001294636	0.00039942484	745	1865182	43
17119-05-24-243200088_1.fastq	bin_508	0.06441969	0.05700418	65980	1157459	497
17119-05-24-243200088_1.fastq	bin_457	0.0029506015	0.0029711153	5680	1911740	39
17119-05-24-243200088_1.fastq	bin_439	0.025128162	0.024312166	48895	2011133	341
17119-05-24-243200088_1.fastq	bin_25	0.062390793	0.023286171	110797	4758060	2094
17119-05-24-243200088_1.fastq	bin_450	0.0223606	0.0021694563	5397	2487720	586
17119-05-24-243200088_1.fastq	bin_506	0.0027246317	0.0026313858	7532	2862370	54
17119-05-24-243200088_1.fastq	bin_316	4.843772	0.8799322	2493376	2833600	96081
17119-05-24-243200088_1.fastq	bin_181	0.0012648887	0.0012844879	4049	3152229	28
17119-05-24-243200088_1.fastq	bin_338	0.06344498	0.021986643	58207	2647380	1245
17119-05-24-243200088_1.fastq	bin_42	0.14111789	0.0020957643	5055	2412008	6889
17119-05-24-243200088_1.fastq	bin_63	0.0019876552	0.0011534058	2077	1800754	32
17119-05-24-243200088_1.fastq	bin_279	0.45498326	0.014366878	32441	2258041	8463
17119-05-24-243200088_1.fastq	bin_113	0.005247487	0.004690847	7669	1634886	61
17119-05-24-243200088_1.fastq	bin_129	0.0030101733	0.0030018517	5340	1778902	59
17119-05-24-243200088_1.fastq	bin_119	1.1836159	0.045004785	122055	2712045	25631
17119-05-24-243200088_1.fastq	bin_54	38.430866	0.84861773	2205022	2598369	667266
17119-05-24-243200088_1.fastq	bin_67	0.025838094	0.006253022	18545	2965766	2751
17119-05-24-243200088_1.fastq	bin_281	0.0076876422	0.0069091073	30007	4343108	225
17119-05-24-243200088_1.fastq	bin_101	0.0069475756	0.006440009	11193	1738041	84
17119-05-24-243200088_1.fastq	bin_260	0.0016513279	0.0014877503	3620	2433204	31
17119-05-24-243200088_1.fastq	bin_499	0.014352778	0.013811496	21906	1586070	152
17119-05-24-243200088_1.fastq	bin_386	0.0042893416	0.0036899373	7653	2074019	61
17119-05-24-243200088_1.fastq	bin_475	0.015963946	0.015438234	30573	1980343	211
17119-05-24-243200088_1.fastq	bin_128	0.0021409406	0.0018532674	5176	2792905	45
17119-05-24-243200088_1.fastq	bin_185	0.027340293	0.025940005	69274	2670547	496
17119-05-24-243200088_1.fastq	bin_580	0.0013741505	0.001392508	3326	2388496	27
17119-05-24-243200088_1.fastq	bin_86	0.0059075262	0.0034786367	6293	1809042	72
17119-05-24-243200088_1.fastq	bin_326	0.022598952	0.0013224767	3197	2417434	580
17119-05-24-243200088_1.fastq	bin_224	0.0100386115	0.0076026553	15443	2031264	149
17119-05-24-243200088_1.fastq	bin_362	0.023797737	0.02234192	43129	1930407	308
17119-05-24-243200088_1.fastq	bin_222	0.0010003431	0.0008117286	1014	1249186	11
17119-05-24-243200088_1.fastq	bin_574	3.02642	0.88756627	2510853	2828919	57792
17119-05-24-243200088_1.fastq	bin_584	0.0454051	0.03823326	108750	2844382	1158
17119-05-24-243200088_1.fastq	bin_169	0.0012100916	0.0010208302	1350	1322453	12
17119-05-24-243200088_1.fastq	bin_139	0.0035014022	0.0030091668	6823	2267405	64
17119-05-24-243200088_1.fastq	bin_99	0.03911542	0.023408286	47007	2008135	534
17119-05-24-243200088_1.fastq	bin_264	0.012748712	0.00018542257	947	5107253	1142
17119-05-24-243200088_1.fastq	bin_81	0.0051766904	0.0042549013	10272	2414157	91
17119-05-24-243200088_1.fastq	bin_425	0.0077155284	0.0075780745	11646	1536802	80
17119-05-24-243200088_1.fastq	bin_501	0.008416192	0.0075934343	12360	1627722	97
17119-05-24-243200088_1.fastq	bin_531	38.58625	0.85996985	2082325	2421393	623645
17119-05-24-243200088_1.fastq	bin_20	0.0035595533	0.0033082264	6825	2063039	49
17119-05-24-243200088_1.fastq	bin_396	116.232315	0.76904166	3559937	4629056	3588424
17119-05-24-243200088_1.fastq	bin_93	0.011530717	0.010331661	25149	2434168	186
17119-05-24-243200088_1.fastq	bin_373	0.015875608	0.014991236	26403	1761229	185
17119-05-24-243200088_1.fastq	bin_393	0.016817104	0.016134327	49344	3058324	344
17119-05-24-243200088_1.fastq	bin_353	0.053189468	0.050047554	45938	917887	324
17119-05-24-243200088_1.fastq	bin_82	0.0015001273	0.001419432	5854	4124185	44
17119-05-24-243200088_1.fastq	bin_46	0.024689332	0.023564147	58987	2503252	417
17119-05-24-243200088_1.fastq	bin_41	0.0023603172	0.0021336079	4534	2125039	38
17119-05-24-243200088_1.fastq	bin_162	0.00020137275	0.00019654687	342	1740043	3
17119-05-24-243200088_1.fastq	bin_77	0.004110947	0.0035383892	4176	1180198	32
17119-05-24-243200088_1.fastq	bin_400	0.019440213	0.018066801	29511	1633438	209
17119-05-24-243200088_1.fastq	bin_485	0.00083929877	0.000697363	1994	2859343	42
17119-05-24-243200088_1.fastq	bin_166	0.0073941313	0.0058687367	12162	2072337	105
17119-05-24-243200088_1.fastq	bin_358	0.021981105	0.021178348	40278	1901848	282
17119-05-24-243200088_1.fastq	bin_51	0.665273	0.0026856519	7798	2903578	15293
17119-05-24-243200088_1.fastq	bin_56	0.015221405	0.0020859283	5893	2825121	827
17119-05-24-243200088_1.fastq	bin_277	1.7842854	0.032769725	157057	4792747	67233
17119-05-24-243200088_1.fastq	bin_476	0.010335008	0.009997817	14563	1456618	101
17119-05-24-243200088_1.fastq	bin_555	0.025173228	0.018790087	76611	4077203	699
17119-05-24-243200088_1.fastq	bin_344	0.23696311	0.021420354	57084	2664942	5621
17119-05-24-243200088_1.fastq	bin_364	0.008280239	0.0010556729	2185	2069770	381
17119-05-24-243200088_1.fastq	bin_40	0.0010472747	0.0010738795	1585	1475957	11
17119-05-24-243200088_1.fastq	bin_161	0.006964045	0.0063506397	9536	1501581	71
17119-05-24-243200088_1.fastq	bin_528	0.0052417107	0.0040557208	9641	2377136	96
17119-05-24-243200088_1.fastq	bin_21	0.0054428815	0.004956592	21911	4420578	160
17119-05-24-243200088_1.fastq	bin_430	3.019155	0.887792	2518578	2836901	57806
17119-05-24-243200088_1.fastq	bin_453	0.021087706	0.020550165	38604	1878525	266
17119-05-24-243200088_1.fastq	bin_147	0.002669716	0.0021756624	4161	1912521	38
17119-05-24-243200088_1.fastq	bin_517	3.0359	0.88811547	2520112	2837595	58073
17119-05-24-243200088_1.fastq	bin_251	0.0015968976	0.0015201701	7117	4681713	52
17119-05-24-243200088_1.fastq	bin_198	1.5909507	0.00850429	19326	2272500	24124
17119-05-24-243200088_1.fastq	bin_405	0.001693498	0.0016831462	2726	1619586	19
17119-05-24-243200088_1.fastq	bin_455	0.00099999	0.00089453184	2747	3070880	26
17119-05-24-243200088_1.fastq	bin_382	0.38014957	0.20983241	520444	2480284	6265
17119-05-24-243200088_1.fastq	bin_76	0.0014287106	0.0012754158	1689	1324274	14
17119-05-24-243200088_1.fastq	bin_88	0.06161104	0.000073143565	202	2761692	3706
17119-05-24-243200088_1.fastq	bin_186	3.0936546	0.3566643	831372	2330965	47989
17119-05-24-243200088_1.fastq	bin_399	3.0855474	0.89124924	2528983	2837571	59228
17119-05-24-243200088_1.fastq	bin_292	0.0006289279	0.00061078725	1059	1733828	15
17119-05-24-243200088_1.fastq	bin_38	41.376484	0.85620236	2202435	2572330	711465
17119-05-24-243200088_1.fastq	bin_275	0.003884489	0.0029534164	5796	1962473	53
17119-05-24-243200088_1.fastq	bin_346	2.1338313	0.59481984	1103530	1855234	25931
17119-05-24-243200088_1.fastq	bin_477	0.06416204	0.054748043	51606	942609	403
17119-05-24-243200088_1.fastq	bin_304	6.0888314	0.9710627	2596308	2673677	108601
17119-05-24-243200088_1.fastq	bin_295	0.00086033385	0.0007273667	1300	1787269	13
17119-05-24-243200088_1.fastq	bin_351	0.066432565	0.019852057	49220	2479340	1203
17119-05-24-243200088_1.fastq	bin_409	0.019926192	0.018237265	65198	3574988	476
17119-05-24-243200088_1.fastq	bin_404	0.0469183	0.027668081	111329	4023734	1330
17119-05-24-243200088_1.fastq	bin_403	0.026362624	0.02517093	51813	2058446	364
17119-05-24-243200088_1.fastq	bin_142	0.0057312744	0.005074556	10019	1974360	80
17119-05-24-243200088_1.fastq	bin_534	0.006627026	0.006179713	11221	1815780	80
17119-05-24-243200088_1.fastq	bin_219	3.548522	0.79670095	3203686	4021190	95852
17119-05-24-243200088_1.fastq	bin_573	0.00095850317	0.0007545459	1032	1367710	9
17119-05-24-243200088_1.fastq	bin_434	0.004293176	0.004061161	5515	1357986	38
17119-05-24-243200088_1.fastq	bin_268	2.6581223	0.88409275	2455489	2777411	49700
17119-05-24-243200088_1.fastq	bin_436	0.023613475	0.02243103	39391	1756094	277
17119-05-24-243200088_1.fastq	bin_352	0.20607737	0.05787592	78202	1351201	1933
17119-05-24-243200088_1.fastq	bin_332	0.0066716336	0.004687842	9639	2056170	92
17119-05-24-243200088_1.fastq	bin_414	0.0021370149	0.0020318737	5621	2766412	40
17119-05-24-243200088_1.fastq	bin_328	0.003389496	0.0032531507	5516	1695587	39
17119-05-24-243200088_1.fastq	bin_165	0.0006106151	0.0005822626	728	1250295	5
17119-05-24-243200088_1.fastq	bin_141	0.051402457	0.008727381	26399	3024848	1796
17119-05-24-243200088_1.fastq	bin_582	0.002678133	0.002579974	6438	2495374	45
17119-05-24-243200088_1.fastq	bin_284	0.0033568533	0.002886578	17045	5904916	134
17119-05-24-243200088_1.fastq	bin_287	0.00065482216	0.000639536	1089	1702797	8
17119-05-24-243200088_1.fastq	bin_195	0.0067096967	0.0058729234	13358	2274506	109
17119-05-24-243200088_1.fastq	bin_467	0.00127695	0.0009018005	2218	2459524	26
17119-05-24-243200088_1.fastq	bin_110	0.010928314	0.0035778822	17030	4759799	571
17119-05-24-243200088_1.fastq	bin_64	0.0012021995	0.0011287596	3206	2840286	28
17119-05-24-243200088_1.fastq	bin_144	0.016060682	0.0071409466	14575	2041046	254
17119-05-24-243200088_1.fastq	bin_363	0.0064698188	0.006386693	10383	1625724	71
17119-05-24-243200088_1.fastq	bin_257	0.0018455881	0.0017051909	6923	4059956	63
17119-05-24-243200088_1.fastq	bin_176	0.0031492643	0.0027324867	11759	4303406	108
17119-05-24-243200088_1.fastq	bin_34	0.004643377	0.004527035	15980	3529904	134
17119-05-24-243200088_1.fastq	bin_29	0.0648768	0.019660015	36331	1847964	811
17119-05-24-243200088_1.fastq	bin_556	1.171184	0.36595902	700099	1913053	14863
17119-05-24-243200088_1.fastq	bin_538	0.024302587	0.023111412	43355	1875913	307
17119-05-24-243200088_1.fastq	bin_377	0.33922717	0.19422588	510487	2628316	5954
17119-05-24-243200088_1.fastq	bin_153	0.009095541	0.00852029	15522	1821769	111
17119-05-24-243200088_1.fastq	bin_371	0	0	0	871658	0
17119-05-24-243200088_1.fastq	bin_39	0.0015430924	0.0012932025	3495	2702593	30
17119-05-24-243200088_1.fastq	bin_464	0.0057191006	0.005535884	24308	4390988	169
17119-05-24-243200088_1.fastq	bin_201	0.0056248563	0.0033245452	4696	1412524	57
17119-05-24-243200088_1.fastq	bin_445	3.4850626	0.88671565	2524099	2846571	67121
17119-05-24-243200088_1.fastq	bin_19	0.0054742615	0.0045064604	9434	2093439	76
17119-05-24-243200088_1.fastq	bin_207	0.004419693	0.003965862	18186	4585636	137
17119-05-24-243200088_1.fastq	bin_239	0.004623328	0.0041820025	7957	1902677	60
17119-05-24-243200088_1.fastq	bin_108	0.005526199	0.0047898833	8277	1728017	67
17119-05-24-243200088_1.fastq	bin_188	0.0011305845	0.00089540787	1365	1524445	17
17119-05-24-243200088_1.fastq	bin_505	0.0012311157	0.0012582963	2942	2338082	51
17119-05-24-243200088_1.fastq	bin_246	0.0037160213	0.0034267008	3423	998920	25
17119-05-24-243200088_1.fastq	bin_415	0.094885364	0.08642529	131848	1525572	976
17119-05-24-243200088_1.fastq	bin_495	0.0027782507	0.0025544837	5925	2319451	60
17119-05-24-243200088_1.fastq	bin_48	0.00018371115	0.00018183213	424	2331821	5
17119-05-24-243200088_1.fastq	bin_280	0.009144867	0.0036854213	7649	2075475	243
17119-05-24-243200088_1.fastq	bin_203	0.0019662296	0.0018104925	2995	1654246	39
17119-05-24-243200088_1.fastq	bin_211	0.4670286	0.025425185	49710	1955148	7975
17119-05-24-243200088_1.fastq	bin_359	0.100071944	0.087806545	150826	1717708	1141
17119-05-24-243200088_1.fastq	bin_448	1.1710322	0.4073976	802020	1968642	15093
17119-05-24-243200088_1.fastq	bin_547	0.0877507	0.08026437	137609	1714447	997
17119-05-24-243200088_1.fastq	bin_341	0.0044986256	0.004359606	9529	2185748	66
17119-05-24-243200088_1.fastq	bin_80	0.008693667	0.007017271	17775	2533036	195
17119-05-24-243200088_1.fastq	bin_115	0.026996093	0.023325115	44929	1926207	351
17119-05-24-243200088_1.fastq	bin_426	0.00018508671	0.00018084806	276	1526143	2
17119-05-24-243200088_1.fastq	bin_471	0.0050838124	0.0030203473	6176	2044798	1229
17119-05-24-243200088_1.fastq	bin_230	0.14204736	0.1106846	224624	2029406	1943
17119-05-24-243200088_1.fastq	bin_583	39.00333	0.8551296	2107283	2464285	641001
17119-05-24-243200088_1.fastq	bin_518	3.5278664	0.8845177	2494975	2820718	67910
17119-05-24-243200088_1.fastq	bin_422	0.0107735805	0.010370538	15051	1451323	105
17119-05-24-243200088_1.fastq	bin_236	0.48918796	0.026975384	117723	4364090	16183
17119-05-24-243200088_1.fastq	bin_283	24.354431	0.9986858	2468904	2472153	400885
17119-05-24-243200088_1.fastq	bin_456	0.011558373	0.0108926715	16064	1474753	116
17119-05-24-243200088_1.fastq	bin_155	0.023690742	0.021144312	92888	4393049	699
17119-05-24-243200088_1.fastq	bin_14	0.004738959	0.0041608177	11050	2655728	101
17119-05-24-243200088_1.fastq	bin_516	0.0044157556	0.002884086	6663	2310264	79
17119-05-24-243200088_1.fastq	bin_138	0.02407327	0.0031418127	12685	4037478	653
17119-05-24-243200088_1.fastq	bin_98	0.0004108333	0.00040751824	803	1970464	6
17119-05-24-243200088_1.fastq	bin_1	0.00015863511	0.00010071127	192	1906440	2
17119-05-24-243200088_1.fastq	bin_243	0.00894724	0.0073981057	15671	2118245	129
17119-05-24-243200088_1.fastq	bin_442	158.57661	0.99964017	2427832	2428706	2572302
17119-05-24-243200088_1.fastq	bin_193	0.0024375147	0.002195479	3018	1374643	25
17119-05-24-243200088_1.fastq	bin_318	2.5069423	0.8902094	2467720	2772067	46819
17119-05-24-243200088_1.fastq	bin_286	0.0012547066	0.0011056223	1921	1737483	17
17119-05-24-243200088_1.fastq	bin_89	0.016491495	0.015728733	46159	2934693	324
17119-05-24-243200088_1.fastq	bin_73	0.014615492	0.013553099	27080	1998067	197
17119-05-24-243200088_1.fastq	bin_97	0.0009065206	0.00085700466	1618	1887971	14
17119-05-24-243200088_1.fastq	bin_288	0.0007872238	0.0007193567	1985	2759410	22
17119-05-24-243200088_1.fastq	bin_507	0.17421715	0.02577423	68056	2640467	4054
17119-05-24-243200088_1.fastq	bin_366	3.0519626	0.8891238	2523168	2837814	58411
17119-05-24-243200088_1.fastq	bin_189	38.88263	0.8651959	2010537	2323794	600309
17119-05-24-243200088_1.fastq	bin_179	0.0072482824	0.0034597532	6666	1926727	101
17119-05-24-243200088_1.fastq	bin_487	0.023215264	0.001260414	2215	1757359	499
17119-05-24-243200088_1.fastq	bin_321	0.022168145	0.021775903	58086	2667444	400
17119-05-24-243200088_1.fastq	bin_62	0.025694594	0.01110545	20641	1858637	334
17119-05-24-243200088_1.fastq	bin_282	0.29968017	0.058155477	137312	2361119	4895
17119-05-24-243200088_1.fastq	bin_407	0.3238826	0.18477568	442474	2394655	5119
17119-05-24-243200088_1.fastq	bin_205	0.0009945205	0.00071893644	1719	2391032	25
17119-05-24-243200088_1.fastq	bin_462	0.29549915	0.023982296	63168	2633943	5475
17119-05-24-243200088_1.fastq	bin_301	0.00088094914	0.00083851925	3898	4648671	27
17119-05-24-243200088_1.fastq	bin_319	0.6301624	0.040843304	83920	2054682	11515
17119-05-24-243200088_1.fastq	bin_504	0.0043944684	0.004390237	7523	1713575	50
17119-05-24-243200088_1.fastq	bin_417	3.5430386	0.79342306	3189582	4020027	95549
17119-05-24-243200088_1.fastq	bin_378	0.06235303	0.02151769	58153	2702567	1196
17119-05-24-243200088_1.fastq	bin_190	0.0006370941	0.00063370523	965	1522790	7
17119-05-24-243200088_1.fastq	bin_330	3.1035345	0.8895922	2524014	2837271	59601
17119-05-24-243200088_1.fastq	bin_443	0.030358417	0.028021188	46569	1661921	333
17119-05-24-243200088_1.fastq	bin_384	0.0020658222	0.0017020705	2255	1324857	22
17119-05-24-243200088_1.fastq	bin_503	0.00006563403	0.00006323629	74	1170214	2
17119-05-24-243200088_1.fastq	bin_123	0.002074748	0.0018947339	5610	2960838	49
17119-05-24-243200088_1.fastq	bin_458	0.06973125	0.046886306	28834	614977	287
17119-05-24-243200088_1.fastq	bin_459	2.3890605	0.8813102	2390806	2712786	43251
17119-05-24-243200088_1.fastq	bin_214	0.0018147974	0.0013666488	3564	2607839	32
17119-05-24-243200088_1.fastq	bin_447	0.004148564	0.003252332	7664	2356463	87
17119-05-24-243200088_1.fastq	bin_33	0.07856755	0.029990267	138343	4612930	2639
17119-05-24-243200088_1.fastq	bin_235	0.00040406414	0.00030456966	564	1851793	8
17119-05-24-243200088_1.fastq	bin_293	0.014065404	0.013104272	22290	1700972	167
17119-05-24-243200088_1.fastq	bin_206	0.009497755	0.005373281	10959	2039536	151
17119-05-24-243200088_1.fastq	bin_478	0.11901803	0.10064875	198410	1971311	1603
17119-05-24-243200088_1.fastq	bin_102	0.005026858	0.004816753	10773	2236569	75
17119-05-24-243200088_1.fastq	bin_290	0.11673618	0.06733398	130387	1936422	1564
17119-05-24-243200088_1.fastq	bin_451	0.03568937	0.027685212	116136	4194875	1085
17119-05-24-243200088_1.fastq	bin_274	1.9151046	0.80566305	3017905	3745865	48203
17119-05-24-243200088_1.fastq	bin_197	0.0038132202	0.003401912	11394	3349293	99
17119-05-24-243200088_1.fastq	bin_196	0.0054133744	0.0043350686	14560	3358655	134
17119-05-24-243200088_1.fastq	bin_493	0.015588638	0.014995801	28694	1913469	199
17119-05-24-243200088_1.fastq	bin_300	2.7924664	0.0044281264	10735	2424276	46848
17119-05-24-243200088_1.fastq	bin_134	7.6314893	0.17256242	401823	2328566	120790
17119-05-24-243200088_1.fastq	bin_564	0.0447158	0.03930106	41711	1061320	308
17119-05-24-243200088_1.fastq	bin_546	0.0030083535	0.002810082	8362	2975714	60
17119-05-24-243200088_1.fastq	bin_313	0.07962946	0.04600305	135229	2939566	3443
17119-05-24-243200088_1.fastq	bin_545	0.04088074	0.037264597	66740	1790976	483
17119-05-24-243200088_1.fastq	bin_525	0.25306794	0.02212037	60391	2730108	4940
17119-05-24-243200088_1.fastq	bin_368	3.0429158	0.8871594	2517565	2837782	58246
17119-05-24-243200088_1.fastq	bin_572	0.0041777887	0.0034556556	8146	2357295	65
17119-05-24-243200088_1.fastq	bin_194	0.12093679	0.027623786	138321	5007315	4175
17119-05-24-243200088_1.fastq	bin_406	0.020481288	0.019751567	46644	2361534	330
17119-05-24-243200088_1.fastq	bin_367	13.730042	0.89062935	2531866	2842783	282877
17119-05-24-243200088_1.fastq	bin_122	0.0015699246	0.0013455371	2328	1730164	18
17119-05-24-243200088_1.fastq	bin_4	0.0031789574	0.0029710662	9943	3346610	74
17119-05-24-243200088_1.fastq	bin_184	0.009354225	0.005632651	13060	2318624	162
17119-05-24-243200088_1.fastq	bin_298	0.037784	0.033505406	63426	1893008	488
17119-05-24-243200088_1.fastq	bin_60	0.013865549	0.003688274	6624	1795962	190
17119-05-24-243200088_1.fastq	bin_349	0.022789715	0.021956159	39629	1804915	274
17119-05-24-243200088_1.fastq	bin_159	0.0030019397	0.0028511218	3887	1363323	30
17119-05-24-243200088_1.fastq	bin_237	0.24849497	0.015744554	38261	2430110	4084
17119-05-24-243200088_1.fastq	bin_45	0.04609	0.018870177	59442	3150050	977
17119-05-24-243200088_1.fastq	bin_221	0.01343156	0.009396153	17532	1865870	248
17119-05-24-243200088_1.fastq	bin_173	0.000908264	0.00087428547	2701	3089380	22
17119-05-24-243200088_1.fastq	bin_468	0.0073582157	0.0071914336	11079	1540583	77
17119-05-24-243200088_1.fastq	bin_175	0.37492916	0.022368696	55171	2466438	6220
17119-05-24-243200088_1.fastq	bin_514	0.035534706	0.02728809	112838	4135064	1007
17119-05-24-243200088_1.fastq	bin_521	0.014397021	0.0135979215	23420	1722322	164
17119-05-24-243200088_1.fastq	bin_72	0.007836296	0.0070476574	13382	1898787	102
17119-05-24-243200088_1.fastq	bin_452	0.015323696	0.0146919135	28398	1932900	197
17119-05-24-243200088_1.fastq	bin_418	0.08522402	0.0026359258	2424	919601	1055
17119-05-24-243200088_1.fastq	bin_549	3.5546763	0.79387194	3179199	4004675	95367
17119-05-24-243200088_1.fastq	bin_533	0.030755723	0.026628215	55189	2072576	434
17119-05-24-243200088_1.fastq	bin_18	0.6578938	0.006675858	27402	4104641	18352
17119-05-24-243200088_1.fastq	bin_412	0.10593187	0.046236534	90335	1953758	1871
17119-05-24-243200088_1.fastq	bin_208	0.0025129898	0.0021979606	4602	2093759	35
17119-05-24-243200088_1.fastq	bin_557	2.8499992	0.8744208	2308917	2640510	50690
17119-05-24-243200088_1.fastq	bin_216	0.0061292066	0.0056631137	27053	4777054	256
17119-05-24-243200088_1.fastq	bin_291	0.000536057	0.0005354303	868	1621126	72
17119-05-24-243200088_1.fastq	bin_372	0.001754351	0.0016739456	3949	2359097	249
17119-05-24-243200088_1.fastq	bin_376	0.027932845	0.025992157	52857	2033575	381
17119-05-24-243200088_1.fastq	bin_289	0.009183471	0.007932372	13914	1754078	108
17119-05-24-243200088_1.fastq	bin_17	0.03091205	0.026092924	54408	2085163	435
17119-05-24-243200088_1.fastq	bin_509	0.011771708	0.0055407183	17906	3231711	484
17119-05-24-243200088_1.fastq	bin_15	0.001970841	0.0015629508	3375	2159377	29
17119-05-24-243200088_1.fastq	bin_26	0.002918123	0.0027238484	7272	2669752	59
17119-05-24-243200088_1.fastq	bin_74	3.4420173	0.37256563	947146	2542226	59600
17119-05-24-243200088_1.fastq	bin_454	0.019317012	0.012738727	19182	1505802	205
17119-05-24-243200088_1.fastq	bin_92	0.007987127	0.007438143	16261	2186164	118
17119-05-24-243200088_1.fastq	bin_200	0.011862179	0.01086927	18014	1657333	131
17119-05-24-243200088_1.fastq	bin_262	0.0011696479	0.0011384691	5604	4922400	39
17119-05-24-243200088_1.fastq	bin_117	5.9011374	0.055137914	254040	4607356	195691
17119-05-24-243200088_1.fastq	bin_149	0.0008729066	0.0008324187	1306	1568922	9
17119-05-24-243200088_1.fastq	bin_336	0.031291872	0.022705289	86263	3799247	816
17119-05-24-243200088_1.fastq	bin_261	4.403519	0.008740983	20470	2341842	78891
17119-05-24-243200088_1.fastq	bin_333	3.2328622	0.84066606	1974437	2348658	51384
17119-05-24-243200088_1.fastq	bin_156	6.073814	0.97098523	2607811	2685737	108782
17119-05-24-243200088_1.fastq	bin_334	0.0058239754	0.0053481245	10668	1994718	77
17119-05-24-243200088_1.fastq	bin_296	0.007848335	0.000433573	1601	3692573	580
17119-05-24-243200088_1.fastq	bin_402	0.0088349935	0.007984287	9313	1166416	67
17119-05-24-243200088_1.fastq	bin_529	0.28773835	0.022962758	61300	2669540	5421
17119-05-24-243200088_1.fastq	bin_218	0.0020971259	0.001931274	3086	1597909	23
17119-05-24-243200088_1.fastq	bin_513	0.0017119736	0.00074581744	1643	2202952	72
17119-05-24-243200088_1.fastq	bin_581	0.0008779254	0.00075029145	1533	2043206	754
17119-05-24-243200088_1.fastq	bin_566	1.4658296	0.121723406	354377	2911330	29381
17119-05-24-243200088_1.fastq	bin_227	0.59349334	0.028888075	143820	4978525	39108
17119-05-24-243200088_1.fastq	bin_552	3.0907552	0.8913049	2528444	2836789	59113
17119-05-24-243200088_1.fastq	bin_539	3.0757923	0.88997334	2518767	2830160	58728
17119-05-24-243200088_1.fastq	bin_49	0.0031332686	0.002579924	5706	2211693	56
17119-05-24-243200088_1.fastq	bin_424	0.004272875	0.0037347854	8652	2316599	65
17119-05-24-243200088_1.fastq	bin_167	0.0042729746	0.0009111192	2335	2562782	1337
17119-05-24-243200088_1.fastq	bin_22	5.8414245	0.012766295	23667	1853866	78904
17119-05-24-243200088_1.fastq	bin_559	0.01550547	0.014736429	15913	1079841	109
17119-05-24-243200088_1.fastq	bin_461	0.117859945	0.017008463	34451	2025521	3033
17119-05-24-243200088_1.fastq	bin_398	3.0628393	0.89207125	2521930	2827050	58333
17119-05-24-243200088_1.fastq	bin_36	0.0091271	0.0074522183	21941	2944224	205
17119-05-24-243200088_1.fastq	bin_125	0.710534	0.41244245	921521	2234302	10640
17119-05-24-243200088_1.fastq	bin_27	0.0014581737	0.00129671	2017	1555475	21
17119-05-24-243200088_1.fastq	bin_576	0.0059107915	0.005611433	15526	2766851	110
17119-05-24-243200088_1.fastq	bin_68	0.00005420799	0.000036670404	57	1554387	3
17119-05-24-243200088_1.fastq	bin_553	3.0779161	0.8874251	2516357	2835571	58903
17119-05-24-243200088_1.fastq	bin_31	0.011177055	0.007650076	17826	2330173	230
17119-05-24-243200088_1.fastq	bin_23	0.0005597078	0.0003336899	2042	6119454	51
17119-05-24-243200088_1.fastq	bin_252	0.001482362	0.0011342373	2558	2255260	37
17119-05-24-243200088_1.fastq	bin_90	3.5191057	0.017413914	35830	2057550	50278
17119-05-24-243200088_1.fastq	bin_180	3.3443344	0.008144825	28830	3539671	80285
17119-05-24-243200088_1.fastq	bin_191	0.14554898	0.117898814	317155	2690061	2715
