Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119D-05-29-243200065_1.fastq	bin_178	0.00061167596	0.00035618257	1082	3037768	20
17119D-05-29-243200065_1.fastq	bin_577	2.0760612	0.782976	1773295	2264814	31273
17119D-05-29-243200065_1.fastq	bin_154	1.8299024	0.29509836	637128	2159036	25917
17119D-05-29-243200065_1.fastq	bin_265	0.008569058	0.0036308235	8572	2360897	183
17119D-05-29-243200065_1.fastq	bin_183	0.05641377	0.029849079	65168	2183250	814
17119D-05-29-243200065_1.fastq	bin_85	11.720652	0.8748555	3648416	4170307	346258
17119D-05-29-243200065_1.fastq	bin_360	0.0025483302	0.0021646887	2763	1276396	21
17119D-05-29-243200065_1.fastq	bin_585	0.17928557	0.02846102	59437	2088365	3084
17119D-05-29-243200065_1.fastq	bin_55	0.010284167	0.0012492079	2330	1865182	129
17119D-05-29-243200065_1.fastq	bin_508	0.27511156	0.18304493	211867	1157459	2116
17119D-05-29-243200065_1.fastq	bin_457	1.532105	0.65693504	1255889	1911740	19375
17119D-05-29-243200065_1.fastq	bin_439	2.3374405	0.8272586	1663727	2011133	31352
17119D-05-29-243200065_1.fastq	bin_25	32.52722	0.99588656	4738488	4758060	1036506
17119D-05-29-243200065_1.fastq	bin_450	8.231409	0.9883311	2458691	2487720	136191
17119D-05-29-243200065_1.fastq	bin_506	1.4185624	0.68400973	1957889	2862370	26926
17119D-05-29-243200065_1.fastq	bin_316	41.5738	0.99957407	2832393	2833600	787744
17119D-05-29-243200065_1.fastq	bin_181	0.0000961929	0.000053612857	169	3152229	2
17119D-05-29-243200065_1.fastq	bin_338	26.76456	0.99937105	2645715	2647380	471651
17119D-05-29-243200065_1.fastq	bin_42	0.29271337	0.062732376	151311	2412008	11607
17119D-05-29-243200065_1.fastq	bin_63	0.0020616972	0.0009007338	1622	1800754	33
17119D-05-29-243200065_1.fastq	bin_279	19.458723	0.9921516	2240319	2258041	293006
17119D-05-29-243200065_1.fastq	bin_113	0.042380538	0.017661782	28875	1634886	533
17119D-05-29-243200065_1.fastq	bin_129	3.604345	0.734647	1306865	1778902	42638
17119D-05-29-243200065_1.fastq	bin_119	0.2280512	0.15237689	413253	2712045	4091
17119D-05-29-243200065_1.fastq	bin_54	0.03491766	0.0073869415	19194	2598369	2408
17119D-05-29-243200065_1.fastq	bin_67	0.02344785	0.019592578	58107	2965766	468
17119D-05-29-243200065_1.fastq	bin_281	0.017601887	0.016149035	70137	4343108	525
17119D-05-29-243200065_1.fastq	bin_101	0.0015958765	0.0008170118	1420	1738041	21
17119D-05-29-243200065_1.fastq	bin_260	0.088318124	0.076550916	186264	2433204	1434
17119D-05-29-243200065_1.fastq	bin_499	2.6461198	0.83857393	1330037	1586070	27567
17119D-05-29-243200065_1.fastq	bin_386	0.25052357	0.18717861	388212	2074019	3477
17119D-05-29-243200065_1.fastq	bin_475	2.7310817	0.8898282	1762165	1980343	36041
17119D-05-29-243200065_1.fastq	bin_128	0	0	0	2792905	0
17119D-05-29-243200065_1.fastq	bin_185	0.9953476	0.57085943	1524507	2670547	17697
17119D-05-29-243200065_1.fastq	bin_580	8.347394	0.99298596	2371743	2388496	132572
17119D-05-29-243200065_1.fastq	bin_86	0.07686335	0.056277853	101809	1809042	933
17119D-05-29-243200065_1.fastq	bin_326	8.255419	0.98720336	2386499	2417434	132672
17119D-05-29-243200065_1.fastq	bin_224	0.11607252	0.00080196373	1629	2031264	1828
17119D-05-29-243200065_1.fastq	bin_362	1.7080418	0.6774877	1307827	1930407	21988
17119D-05-29-243200065_1.fastq	bin_222	0.00025112176	0.00024255796	303	1249186	4
17119D-05-29-243200065_1.fastq	bin_574	37.636242	0.999666	2827974	2828919	709100
17119D-05-29-243200065_1.fastq	bin_584	0.043397456	0.034965415	99455	2844382	820
17119D-05-29-243200065_1.fastq	bin_169	0.00032429834	0.00031532312	417	1322453	4
17119D-05-29-243200065_1.fastq	bin_139	0.16107382	0.038947165	88309	2267405	2603
17119D-05-29-243200065_1.fastq	bin_99	0.28863907	0.12627637	253580	2008135	4007
17119D-05-29-243200065_1.fastq	bin_264	0.0006037487	0.00007283759	372	5107253	55
17119D-05-29-243200065_1.fastq	bin_81	0.2290544	0.053432316	128994	2414157	3800
