OTU ID	NXT032_LIN_006	NXT032_LIN_007	NXT032_LIN_008	NXT032_LIN_009	NXT032_LIN_010	NXT032_LIN_016	NXT032_LIN_017	NXT032_LIN_018	NXT032_LIN_019	NXT032_LIN_020	NXT032_LIN_026	NXT032_LIN_027	NXT032_LIN_028	NXT032_LIN_029	NXT032_LIN_030	NXT032_LIN_036	NXT032_LIN_037	NXT032_LIN_038	NXT032_LIN_039	NXT032_LIN_040	NXT032_LIN_046	NXT032_LIN_047	NXT032_LIN_048	NXT032_LIN_049	NXT032_LIN_050	NXT032_LIN_055	NXT032_LIN_056	NXT032_LIN_057	NXT032_LIN_058	NXT032_LIN_059	NXT032_LIN_060	NXT032_LIN_065	NXT032_LIN_066	NXT032_LIN_067	NXT032_LIN_068	NXT032_LIN_069	NXT032_LIN_070	NXT032_LIN_076	NXT032_LIN_077	NXT032_LIN_078	NXT032_LIN_079	NXT032_LIN_080
zOTU_1091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	8.0
zOTU_2211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	13.0	4.0	10.0	0.0	0.0	2.0	4.0
zOTU_671	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	40.0	1.0	0.0	19.0	0.0	0.0	0.0	1.0	0.0	0.0	27.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
zOTU_7421	0.0	0.0	34.0	13.0	0.0	0.0	19.0	11.0	9.0	19.0	0.0	9.0	75.0	0.0	0.0	0.0	0.0	8.0	3.0	3.0	0.0	0.0	2.0	8.0	29.0	0.0	4.0	17.0	9.0	0.0	0.0	1.0	0.0	1.0	37.0	2.0	1.0	18.0	0.0	0.0	0.0	0.0
zOTU_2087	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	158.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	1.0	22.0	0.0	28.0	0.0	0.0	1.0	15.0	0.0	0.0	0.0	0.0	3.0	11.0	0.0	0.0	0.0	15.0
zOTU_4729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	0.0	0.0	7.0	0.0	0.0	1.0
zOTU_77	6.0	0.0	0.0	0.0	168.0	957.0	26.0	0.0	0.0	5.0	49.0	7.0	4.0	211.0	0.0	360.0	253.0	0.0	0.0	5.0	63.0	10.0	14.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	258.0	0.0	76.0	602.0	0.0	44.0	0.0	6.0	18.0	65.0	2.0	0.0
zOTU_1438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	20.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
zOTU_1529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	12.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	32.0	0.0	0.0	0.0	0.0
zOTU_4495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
zOTU_6931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	22.0
zOTU_8213	1.0	0.0	0.0	0.0	165.0	39.0	0.0	0.0	0.0	2.0	29.0	0.0	0.0	85.0	3.0	68.0	60.0	0.0	0.0	2.0	84.0	0.0	0.0	13.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	7.0	1.0	274.0	0.0	35.0	7.0	1.0	13.0	0.0	0.0	2.0
zOTU_91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	0.0	665.0	0.0	0.0	0.0	0.0	0.0	823.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	160.0
zOTU_2434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
