file	percent	reads	taxon_id	taxon_name
kaiju_17119-05-01-243200068.out	78.061920	19815572	1239	Bacteria;Firmicutes;
kaiju_17119-05-01-243200068.out	2.724277	691542	201174	Bacteria;Actinobacteria;
kaiju_17119-05-01-243200068.out	0.334402	84886	1224	Bacteria;Proteobacteria;
kaiju_17119-05-01-243200068.out	0.025197	6396	976	Bacteria;Bacteroidetes;
kaiju_17119-05-01-243200068.out	0.020595	5228	1913637	Eukaryota;Mucoromycota;
kaiju_17119-05-01-243200068.out	0.006315	1603	2502409	Viruses;NA;
kaiju_17119-05-01-243200068.out	0.005078	1289	32066	Bacteria;Fusobacteria;
kaiju_17119-05-01-243200068.out	0.005066	1286	5794	Eukaryota;Apicomplexa;
kaiju_17119-05-01-243200068.out	0.004452	1130	4890	Eukaryota;Ascomycota;
kaiju_17119-05-01-243200068.out	0.003683	935	28871	Viruses;NA;
kaiju_17119-05-01-243200068.out	0.003668	931	200795	Bacteria;Chloroflexi;
kaiju_17119-05-01-243200068.out	0.002486	631	57723	Bacteria;Acidobacteria;
kaiju_17119-05-01-243200068.out	0.002245	570	67817	Bacteria;Candidatus Aminicenantes;
kaiju_17119-05-01-243200068.out	0.002175	552	5204	Eukaryota;Basidiomycota;
kaiju_17119-05-01-243200068.out	0.002060	523	2506609	Viruses;NA;
kaiju_17119-05-01-243200068.out	0.002037	517	204428	Bacteria;Chlamydiae;
kaiju_17119-05-01-243200068.out	0.002001	508	28890	Archaea;Euryarchaeota;
kaiju_17119-05-01-243200068.out	0.001722	437	1117	Bacteria;Cyanobacteria;
kaiju_17119-05-01-243200068.out	0.001655	420	74201	Bacteria;Verrucomicrobia;
kaiju_17119-05-01-243200068.out	0.001398	355	107324	Viruses;NA;
kaiju_17119-05-01-243200068.out	0.001379	350	552525	Viruses;NA;
kaiju_17119-05-01-243200068.out	0.001292	328	3041	Eukaryota;Chlorophyta;
kaiju_17119-05-01-243200068.out	0.000977	248	203682	Bacteria;Planctomycetes;
kaiju_17119-05-01-243200068.out	0.000634	161	1161901	Viruses;NA;
