""	"17119-05-01-243200068"	"17119-05-02-243200066"	"17119-05-03-243200095"	"17119-05-04-243200101"	"17119-05-05-243200087"	"17119-05-06-243200069"	"17119-05-07-243200099"	"17119-05-08-243200071"	"17119-05-09-243200070"	"17119-05-10-243200096"	"17119-05-11-243200091"	"17119-05-12-243200081"	"17119-05-13-243200076"	"17119-05-14-243200089"	"17119-05-15-243200093"	"17119-05-16-243200072"	"17119-05-17-243200086"	"17119-05-18-243200100"	"17119-05-19-243200062"	"17119-05-20-243200063"	"17119-05-21-243200075"	"17119-05-22-243200094"	"17119-05-23-243200073"	"17119-05-24-243200088"	"17119-05-25-243200085"	"17119-05-26-243200098"	"17119-05-27-243200083"	"17119-05-28-243200078"	"17119-05-30-243200082"	"17119-05-31-243200080"	"17119-05-32-243200092"	"17119-05-33-243200064"	"17119-05-34-243200097"	"17119-05-35-243200067"	"17119-05-36-243200079"	"17119-05-37-243200074"	"17119-05-38-243200077"	"17119-05-39-243200084"	"17119-05-40-243200090"	"17119D-05-29-243200065"
"K00001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"K00002"	0	0	0	1	1	0	1	3	0	0	0	21	1	46	0	0	0	0	115	2	43	1	1	1	0	0	0	5	2	4	0	1	1	2	10	4	0	164	141	0
"K00003"	7528	315	363	1251	872	842	20	1177	81	462	1993	1373	66	3227	841	885	776	793	3699	214	2853	126	4707	46	1015	4412	370	2762	229	3418	6331	1429	559	2080	3067	3573	3305	6005	8377	1199
"K00004"	5640	102	16	650	68	2	0	6	11	3	4	13	5	117	58	9	1	0	23	3	3	0	2	63	14	10	102	133	49	21	64	89	4	8	20	69	82	6	80	62
"K00005"	36	1159	282	168	2837	68	47	939	41	158	712	2171	118	3446	282	3878	223	326	2054	15	771	7	6010	2940	532	2807	5328	6034	679	2232	2163	1787	5219	283	1373	3184	4235	1591	1987	1008
"K00006"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0
"K00007"	0	0	2	0	0	0	0	4	0	0	1	0	0	24	2	0	0	0	1	0	0	0	3	0	1	1	3061	1	1	0	5	0	0	0	0	4	0	2	0	1
"K00008"	22	510	45	806	38	21	37	321	5	59	42	481	19	1571	749	470	5	4	487	6	242	2	4069	93	5	7	81	951	16	763	85	376	10	13	717	297	1496	1185	1404	61
"K00009"	143	1287	345	279	3002	35	87	802	154	113	611	1246	88	1849	736	3562	69	273	1242	104	185	20	7250	5087	1323	2140	2986	3898	718	4025	1334	3106	5360	2045	1376	2637	2814	391	1021	1268
"K00010"	2833	32	38	47	45	102	8	1009	124	8	168	553	8	688	71	67	3	78	184	53	133	3	184	1	3	86	26	2179	21	470	372	14	43	141	341	435	4	481	1190	307
