	17119-05-01-243200068	17119-05-02-243200066	17119-05-03-243200095	17119-05-04-243200101	17119-05-05-243200087	17119-05-06-243200069	17119-05-07-243200099	17119-05-08-243200071	17119-05-09-243200070	17119-05-10-243200096	17119-05-11-243200091	17119-05-12-243200081	17119-05-13-243200076	17119-05-14-243200089	17119-05-15-243200093	17119-05-16-243200072	17119-05-17-243200086	17119-05-18-243200100	17119-05-19-243200062	17119-05-20-243200063	17119-05-21-243200075	17119-05-22-243200094	17119-05-23-243200073	17119-05-24-243200088	17119-05-25-243200085	17119-05-26-243200098	17119-05-27-243200083	17119-05-28-243200078	17119-05-30-243200082	17119-05-31-243200080	17119-05-32-243200092	17119-05-33-243200064	17119-05-34-243200097	17119-05-35-243200067	17119-05-36-243200079	17119-05-37-243200074	17119-05-38-243200077	17119-05-39-243200084	17119-05-40-243200090	17119D-05-29-243200065
bin_1	0.000105056366	7.669115e-05	0.00011241031	0.00021063801	0.0068076523	0.00025003415	0.00015863511	0.060011346	0	1.41826085e-05	0.0003897591	0.0025686282	0.0034805173	0.00036349503	2.3637682e-05	0	0.00013814912	0.00026894428	0.0031154465	0	0.009164592	2.1011272e-05	0.0011235778	0.00015863511	0.00015758454	0.00011503672	2.6264092e-05	0.00090190885	0.00013814912	7.826699e-05	0.0006581781	0.033218298	0.032298002	0.028569028	0.055684075	29.086958	0.018095959	0.13233215	0.70413816	0.019935496
bin_10	0.0039179157	8.671243e-05	0.00019572236	0.0003959042	0.0071322215	0.0002789663	0.00035378675	0.06518248	0.0005485181	9.5631425e-05	0.00030869627	0.027537392	0.004686931	0.0076391175	0.00032950725	0.002631103	0.008488404	0.008241645	0.011252796	0.007853669	7.8396363	0.0059846444	0.017243883	0.005926671	0.0004147332	0.0012228931	0.003172684	0.005772075	0.001247668	0.26003376	0.018865157	0.026160398	0.03092661	0.020568686	0.03660751	17.871025	0.013575203	0.30736238	0.50202686	0.0039397175
bin_100	0.0052770986	0.005579217	0.004671811	0.005627178	0.011070915	0.005266246	0.0026206952	8.048154	0.004340986	0.00021039777	0.006155798	0.0036730343	0.000744269	0.0011895702	0.0006917571	0.0009648191	0.010573802	0.005952402	2.8689585	0.005930347	4.122477	0.0031213087	0.37166014	0.0040297653	0.00011517615	0.00021109794	0.00030842004	0.0019082833	0.00025380764	0.09784442	0.0013110477	0.0042468146	0.0046273507	0.018433437	1.2559165	0.40963817	0.003975153	2.42664	1.4387558	0.0026669058
bin_101	0.0052536256	0.000112001515	0.0002628844	0.0005164837	0.00034180772	0.00043756032	0	0.017998004	0.06930108	4.2943586e-05	0.0013306708	0.00075093244	0.00027507107	0.009948404	0.0051282765	0.007835464	0.017254036	0.0004973331	0.0031308194	0.00039577737	0.00043698	0.00017641688	0.08996333	0.0069475756	10.954748	0.03111611	0.011826895	0.03736266	0.004338463	0.0039078663	0.01674974	0.06970905	0.0616844	0.055198178	0.057473026	0.12359164	0.032163005	0.06045064	57.983692	0.0015958765
bin_102	5.106649e-05	6.0641458e-05	0.00013678525	0	6.8848574e-05	0.0044528157	0.010634141	0.030469825	1.7782082e-05	0.0001372412	0.0073157307	0.00031916559	0	0	0.006368721	0.006025846	4.2859378e-05	6.520097e-05	0	0	0.00031870962	0	0.0053834114	0.005026858	0	0.0002744824	0	0	5.106649e-05	0.0076627093	0.007723351	0.07943028	0.079983346	0.07599788	0.0803244	0.1681729	0.03920812	46.42944	49.42173	0.002466694
bin_103	0.14500745	0.14108446	0.41019428	0.3177782	5.775165	0.35912845	0.103867896	5.476665	0.19491926	1.250881	63.010693	1.1046021	0.34661594	5.3216624	0.35441306	4.7703543	6.006294	0.6031084	9.064447	0.3013959	0.90858096	0.07744848	3.1106746	0.9978972	11.676191	69.412544	0.90800315	8.032644	1.1978676	0.93748844	10.382413	3.7009878	24.026373	0.31349906	2.3479428	7.697346	0.9091736	6.9678936	1.0122365	29.99555
bin_104	0.0048994003	0.015597823	0.0050558066	0.02974004	0.016456345	0.14470613	0.003423815	3.5329351	0.023670446	0.06839125	3.3143208	0.026005125	0.033801466	14.554136	1.8064529	0.007972158	1.7437499	0.7376911	8.520069	0.10945933	33.420185	0.052286528	3.9331386	0.032244824	0.9038501	34.11123	0.19772618	83.21231	0.12192503	0.60168326	3.5981236	0.04159039	0.3013802	0.022908963	0.5375019	14.578337	0.016867911	1.779519	0.47584006	6.4817433
bin_105	0.00033941647	0.0010513056	0.0032944058	0.0040907064	0.00026563028	0.0024072006	0.0023009484	0.004041122	0.0071838233	0.0041054636	0.003614933	1.1722034	0.00882837	6.312864	0.014662201	0.0029921774	0.0168628	0.026877062	0.17116861	2.1661105	0.002404249	0.0021580984	0.07622054	0.033038504	0.017934175	0.015951984	0.09097896	1.3946404	0.0070923283	11.447724	2.471515	0.06861525	0.97431946	0.007281221	0.8169093	0.016183967	1.3827361	0.03743616	0.91533947	0.035835885
bin_106	5.765564e-05	0	9.251719e-05	2.4134919e-05	0	5.7208697e-05	0.0008916512	0.0074469633	0	0.000120227654	0.00013452982	0.0011727783	5.9890357e-05	0.00018995076	0.0010914347	0.0029708298	1.16205165e-05	0.00012559097	0.0025913753	0	0.0002735291	0	0.0007875135	0.0016514543	0	0	0	2.5028805e-05	0.00047375954	0.0008201403	0.0026883618	0.021214595	0.017767323	0.01421949	0.018605342	0.06419889	0.009164565	4.5518413	18.122536	0
bin_107	0.0014798281	0.006115011	0.0008492861	0.0018444016	0.0032362032	0.0018243784	0.0025659925	0.9081464	0.0012996193	0.0007378362	0.0009800036	0.13977255	0.0010880533	0.77514434	0.0016672151	0.055714	0.000114850074	0.0016853493	0.2851425	0.00058482867	0.0027288226	0.00021761068	0.059415646	0.00046204487	0.0014216475	0.0022996461	0.0017355962	0.84292895	0.23859197	0.02837137	0.019036023	0.013384946	0.008443748	0.027540594	0.19976093	1.6196905	0.0047617448	7.4777656	0.70609415	0.004926464
