""	"17119-05-33-243200064"	"17119-05-40-243200090"	"17119-05-06-243200069"	"17119-05-09-243200070"	"17119-05-15-243200093"	"17119-05-18-243200100"	"17119-05-20-243200063"	"17119-05-28-243200078"	"17119-05-31-243200080"	"17119-05-34-243200097"	"17119-05-36-243200079"	"17119-05-39-243200084"	"17119-05-14-243200089"	"17119-05-17-243200086"	"17119-05-23-243200073"	"17119-05-26-243200098"	"17119-05-35-243200067"	"17119-05-37-243200074"	"17119D-05-29-243200065"	"REF_GCF_003795065"	"REF_GCF_003971565"
"g000031"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
"g000038"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000039"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000041"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g000042"	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
"g000050"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"g000058"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000061"	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0
"g000070"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"g000074"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000075"	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0
"g000076"	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
"g000087"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
"g000117"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"g000119"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"g000122"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
"g000125"	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000126"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000127"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"g000130"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"g000145"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g000161"	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0
"g000167"	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0
"g000180"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
"g000181"	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0
"g000182"	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0
