""	"17119-05-33-243200064"	"17119-05-40-243200090"	"17119-05-06-243200069"	"17119-05-09-243200070"	"17119-05-15-243200093"	"17119-05-18-243200100"	"17119-05-20-243200063"	"17119-05-28-243200078"	"17119-05-31-243200080"	"17119-05-34-243200097"	"17119-05-36-243200079"	"17119-05-39-243200084"	"17119-05-14-243200089"	"17119-05-17-243200086"	"17119-05-23-243200073"	"17119-05-26-243200098"	"17119-05-35-243200067"	"17119-05-37-243200074"	"17119D-05-29-243200065"	"REF_GCF_003795065"	"REF_GCF_003971565"
"g000125"	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000161"	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0
"g000167"	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0
"g000193"	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"g000220"	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0
"g000223"	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0
"g000224"	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0
"g000263"	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"g000264"	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"g000402"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000421"	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000478"	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000479"	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g000591"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g000616"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1
"g000744"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
"g000752"	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1
"g000786"	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
