""	"17119-05-27-243200083"	"17119-05-40-243200090"	"17119-05-15-243200093"	"17119-05-18-243200100"	"17119-05-25-243200085"	"17119-05-28-243200078"	"17119-05-31-243200080"	"17119-05-34-243200097"	"17119-05-39-243200084"	"17119-05-08-243200071"	"17119-05-11-243200091"	"17119-05-14-243200089"	"17119-05-17-243200086"	"17119-05-19-243200062"	"17119-05-21-243200075"	"17119-05-23-243200073"	"17119-05-26-243200098"	"17119-05-32-243200092"	"17119-05-37-243200074"	"17119D-05-29-243200065"	"REF_GCF_000010005"	"REF_GCF_000016825"	"REF_GCF_000159455"	"REF_GCF_000236455"	"REF_GCF_000410995"	"REF_GCF_000439275"	"REF_GCF_001046835"	"REF_GCF_001618905"	"REF_GCF_001688685"	"REF_GCF_003072625"	"REF_GCF_003316895"	"REF_GCF_003316935"	"REF_GCF_004208615"	"REF_GCF_006874665"	"REF_GCF_007633215"	"REF_GCF_009184725"
"g000001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"g000002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
"g000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"g000004"	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1
"g000005"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1
"g000006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1
"g000007"	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1
"g000008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"g000009"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"g000010"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"g000011"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g000012"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g000013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
