Archaea;;;;;;
Archaea;Crenarchaeota;Aigarchaeota;Caldiarchales;[Caldiarchaceae];Caldiarchaeum;subterraneum
Archaea;Crenarchaeota;Thaumarchaeota;;;;
Archaea;Crenarchaeota;Thaumarchaeota;Cenarchaeales;SAGMA-X;Nitrosotalea;devanaterra
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;kamchatkensis
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;mucosus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;hellenicus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;marinus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Sulfophobococcus;zilligii
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;cellulolyticus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;aggregans
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;butylicus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;occultum
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;brierleyi
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;acidocaldarius
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;beitou
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;islandicus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;solfataricus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;tengchongensis
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;tokodaii
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;vallisabyssus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;yangmingensis
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Acidilobus;saccharovorans
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Acidilobus;sulfurireducens
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;maquilingensis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;jeotgali
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halalkalicoccus;tibetensis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;309
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;BC5
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;D32
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;EB21
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;GC6
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;GC9
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;GX26
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;R11
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;R22
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;RC27
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;SL-2
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;TNN10
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;XD15
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;XD46
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;XD48
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;XDS2
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;YC21
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;YC25
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;YC66
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;YC89
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;YC92
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;YC93
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;tADL
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halobacteriaceae;tarim 51
