Genome	Order_VC_predicted	Family_VC_predicted	Genus_VC_predicted	VC	VC Subcluster	VC Status
Achromobacter~phage~83-24	['Caudovirales']	['Siphoviridae']	['Jwxvirus']	0_0	VC_0_0	Clustered
Achromobacter~phage~JWAlpha	['Caudovirales']	['Podoviridae']	['G7cvirus', 'Johnsonvirus', 'Jwalphavirus', 'N4virus', 'Ea92virus', 'Gamaleyavirus']	6_0	VC_6_0	Clustered
Achromobacter~phage~JWF	['Caudovirales']	['Siphoviridae']	['Seussvirus']	15_0	VC_15_0	Clustered
Achromobacter~phage~JWX	['Caudovirales']	['Siphoviridae']	['Jwxvirus']	0_0	VC_0_0	Clustered
Achromobacter~phage~phiAxp-1	['Caudovirales']	['Siphoviridae']	['Lokivirus', 'Septima3virus', 'Titanvirus', 'Septimatrevirus']	1_0	VC_1_0	Clustered
Achromobacter~phage~phiAxp-2	['Caudovirales']	['Siphoviridae']	['Nazgulvirus', 'Ahduovirus']	18_0	VC_18_0	Clustered
Achromobacter~phage~phiAxp-3	['Caudovirales']	['Podoviridae']	['G7cvirus', 'Johnsonvirus', 'Jwalphavirus', 'N4virus', 'Ea92virus', 'Gamaleyavirus']	6_0	VC_6_0	Clustered
Acidianus~bottle-shaped~virus	Unassigned	['Ampullaviridae']	['Ampullavirus']	21_0	VC_21_0	Clustered
Acidianus~bottle-shaped~virus~2	Unassigned	['Ampullaviridae']	['Ampullavirus']	21_0	VC_21_0	Clustered
Acidianus~bottle-shaped~virus~3	Unassigned	['Ampullaviridae']	['Ampullavirus']	21_0	VC_21_0	Clustered
Acidianus~filamentous~virus~2	['Ligamenvirales']	['Lipothrixviridae']	['Deltalipothrixvirus']	24_0	VC_24_0	Clustered
Acidianus~filamentous~virus~3	['Ligamenvirales']	['Lipothrixviridae']	['Betalipothrixvirus']	23_0	VC_23_0	Clustered
Acidianus~filamentous~virus~6	['Ligamenvirales']	['Lipothrixviridae']	['Betalipothrixvirus']	23_0	VC_23_0	Clustered
