mag	M00078:Heparan sulfate degradation	M00079:Keratan sulfate degradation	source	genus	species
bin_100	0	2	Donors shared	Ruthenibacterium	Ruthenibacterium lactatiformans OX=1550024 
bin_101	0	0	Donor1 specific	Lactobacillus	Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162 OX=1293597 
bin_102	1	2	Donors shared	Porphyromonadaceae	Porphyromonadaceae bacterium OX=2049046 
bin_103	0	0	Donor2 specific	Gardnerella	Gardnerella vaginalis OX=2702 
bin_104	0	0	Donor2 specific	Lactobacillus	Lactobacillus reuteri (strain ATCC 53608) OX=927703 
bin_105	0	0	Donor1 specific	Rothia	Rothia nasimurium OX=85336 
bin_106	1	1	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_107	1	5	Donor2 specific	Lachnospiraceae	Lachnospiraceae bacterium OX=1898203 
bin_108	0	0	Donor1 specific	Bifidobacterium	Bifidobacterium thermacidophilum subsp. porcinum OX=212365 
bin_110	2	8	Donor2 specific	Bacteroides	Bacteroides vulgatus OX=821 
bin_113	0	0	Donors shared	Actinobacillus	Actinobacillus porcinus OX=51048 
bin_115	0	0	Donors shared	Lactobacillus	Lactobacillus vaginalis DSM 5837 = ATCC 49540 OX=1423814 
bin_116	0	0	Donor1 specific	Bifidobacterium	Bifidobacterium thermophilum OX=33905 
bin_117	0	0	Donors shared	Escherichia	Escherichia coli (strain K12) OX=83333 
bin_121	0	2	Donor1 specific	Verrucomicrobia	Verrucomicrobia bacterium OX=2026799 
bin_122	0	0	Donors shared	Firmicutes	Tyzzerella sp. OX=2053632 
bin_126	0	0	Donors shared	Veillonella	Veillonella tobetsuensis OX=1110546 
bin_128	1	1	Donors shared	Clostridiales	Clostridiales bacterium OX=1898207 
bin_135	0	0	Donor1 specific	Rothia	Rothia nasimurium OX=85336 
bin_136	0	0	Donors shared	Porphyromonadaceae	Porphyromonadaceae bacterium OX=2049046 
bin_140	0	0	Donors shared	Lachnospiraceae	Lachnospiraceae bacterium OX=1898203 
bin_142	0	0	Donor1 specific	Lactobacillus	Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162 OX=1293597 
