name	nprots	nhits	nfull	genus	ngenus	species	nspecies	avgpid	Superkingdom	kingdom	phylum	class	order	family	genus	source	source
bin_98	1941	1918	1772	[Actinobacillus]	1544	[Actinobacillus] rossii OX=123820 	1544	97.03	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Donor1_specific	Donor1 specific
bin_58	1963	1941	1902	[Actinobacillus]	1538	[Actinobacillus] rossii OX=123820 	1538	96.96	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Donor1_specific	Donor1 specific
bin_560	3946	3823	3163	[Clostridium]	1674	[Clostridium] clostridioforme OX=1531 	1176	93.99	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_82	3989	3862	3438	[Clostridium]	1752	[Clostridium] clostridioforme OX=1531 	1200	94.07	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_432	4258	4124	3554	[Clostridium]	1802	[Clostridium] clostridioforme OX=1531 	1244	93.69	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_479	3816	3681	2653	[Clostridium]	1656	[Clostridium] clostridioforme OX=1531 	1217	94.23	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Others	Others
bin_220	1947	1920	1690	Actinobacillus	1377	Actinobacillus indolicus OX=51049 	1299	95.28	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Others	Others
bin_113	1681	1631	1435	Actinobacillus	1372	Actinobacillus porcinus OX=51048 	1115	95.08	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Donors_shared	Donors shared
bin_130	2279	2243	2189	Akkermansia	2222	Akkermansia muciniphila OX=239935 	1779	98.75	Bacteria	NA	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Others	Others
bin_226	2633	2578	2481	Alistipes	2391	Alistipes finegoldii (strain DSM 17242 / JCM 16770 / AHN 2437 / CCUG 46020 / CIP 107999) OX=679935 	653	95.51	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Donor2_specific	Donor2 specific
bin_39	2196	2153	2072	Alistipes	2083	Alistipes shahii WAL 8301 OX=717959 	926	97.29	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Donors_shared	Donors shared
bin_233	2616	2583	2531	Alistipes	2553	Alistipes sp. 3BBH6 OX=2585117 	884	98.64	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Donor1_specific	Donor1 specific
bin_420	2005	1965	1299	Alistipes	1875	Alistipes sp. 58_9_plus OX=1896970 	546	96.25	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Others	Others
bin_573	1457	1425	839	Alistipes	1354	Alistipes sp. 58_9_plus OX=1896970 	423	96.27	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Others	Others
bin_178	2382	2341	2112	Alistipes	2169	Alistipes timonensis JC136 OX=1033731 	1652	89.55	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Donor2_specific	Donor2 specific
bin_269	832	718	569	Alphaproteobacteria	541	Alphaproteobacteria bacterium OX=1913988 	540	69.89	Bacteria	NA	Proteobacteria	Alphaproteobacteria				Donor1_specific	Donor1 specific
bin_221	1755	1727	1667	Anaerococcus	1551	Anaerococcus prevotii (strain ATCC 9321 / DSM 20548 / JCM 6508 / PC1) OX=525919 	1390	91.86	Bacteria	NA	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Donor2_specific	Donor2 specific
bin_6	1515	1477	956	Anaerococcus	1418	Anaerococcus prevotii (strain ATCC 9321 / DSM 20548 / JCM 6508 / PC1) OX=525919 	1264	92.46	Bacteria	NA	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Others	Others
bin_42	2380	2280	2015	Anaeromassilibacillus	1776	Anaeromassilibacillus sp. An172 OX=1965570 	1775	91.97	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus	Donor1_specific	Donor1 specific
bin_569	1582	1483	1245	Anaerovibrio	896	Anaerovibrio sp. JC8 OX=1240085 	370	68.2	Bacteria	NA	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	Donor1_specific	Donor1 specific
bin_264	5363	5305	5087	Bacillus	5275	Bacillus cereus OX=1396 	1722	99.18	Bacteria	NA	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Others	Others
bin_515	5103	5049	4275	Bacillus	4995	Bacillus cereus OX=1396 	1657	99.26	Bacteria	NA	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Others	Others
bin_57	5644	5588	5428	Bacillus	5527	Bacillus cereus OX=1396 	1878	99.14	Bacteria	NA	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Others	Others
bin_392	5416	5345	4764	Bacillus	5289	Bacillus cereus OX=1396 	1782	99.1	Bacteria	NA	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Others	Others
bin_262	4085	4063	3971	Bacteroides	3998	Bacteroides fragilis OX=817 	2487	99.78	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Others	Others
bin_455	2561	2546	2215	Bacteroides	2493	Bacteroides fragilis OX=817 	1827	99.72	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor1_specific	Donor1 specific
bin_301	3898	3880	3654	Bacteroides	3813	Bacteroides fragilis OX=817 	2598	99.74	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Others	Others
bin_143	4333	4312	4213	Bacteroides	4140	Bacteroides fragilis OX=817 	2971	99.4	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Others	Others
bin_554	2775	2765	2578	Bacteroides	2702	Bacteroides fragilis OX=817 	1962	99.84	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Others	Others
bin_527	3355	3311	2420	Bacteroides	3198	Bacteroides intestinalis OX=329854 	1570	99.33	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor2_specific	Donor2 specific
bin_61	2772	2728	2673	Bacteroides	2650	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 OX=1121098 	2039	98.65	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor2_specific	Donor2 specific
bin_255	2055	1841	1626	Bacteroides	866	Bacteroides sp. 43_108 OX=1896974 	641	65.19	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor1_specific	Donor1 specific
bin_244	1710	1619	1454	Bacteroides	1009	Bacteroides sp. CAG:709 OX=1262748 	352	69.16	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor1_specific	Donor1 specific
bin_289	1477	1419	1214	Bacteroides	968	Bacteroides sp. CAG:709 OX=1262748 	338	69.76	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donors_shared	Donors shared
bin_70	4159	4111	3742	Bacteroides	3988	Bacteroides thetaiotaomicron OX=818 	3132	99.64	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Others	Others
bin_284	4715	4666	4292	Bacteroides	4568	Bacteroides thetaiotaomicron OX=818 	3714	99.41	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Others	Others
bin_155	3569	3555	3519	Bacteroides	3424	Bacteroides uniformis OX=820 	2913	99.81	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor2_specific	Donor2 specific
bin_41	1828	1760	1468	Bacteroides	1398	Bacteroides uniformis OX=820 	130	73.45	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donors_shared	Donors shared
bin_409	3031	3006	2721	Bacteroides	2945	Bacteroides uniformis OX=820 	2555	99.79	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor2_specific	Donor2 specific
bin_183	2013	1988	1445	Bacteroides	1892	Bacteroides uniformis OX=820 	1538	99.79	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor2_specific	Donor2 specific
bin_110	4023	3985	3830	Bacteroides	3655	Bacteroides vulgatus OX=821 	2880	99.02	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor2_specific	Donor2 specific
bin_21	3602	3585	3528	Bacteroides	3465	Bacteroides vulgatus OX=821 	2900	99.69	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor2_specific	Donor2 specific
bin_562	2687	2672	2505	Bacteroides	2610	Bacteroides vulgatus OX=821 	2217	99.82	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Donor2_specific	Donor2 specific
bin_243	1664	1622	1568	Bifidobacterium	1599	Bifidobacterium boum OX=78343 	956	96.25	Bacteria	NA	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Donor1_specific	Donor1 specific
bin_55	1640	1594	1337	Bifidobacterium	1591	Bifidobacterium choerinum OX=35760 	1436	98.26	Bacteria	NA	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Donor1_specific	Donor1 specific
bin_188	1423	1401	1076	Bifidobacterium	1400	Bifidobacterium pseudolongum subsp. pseudolongum OX=31954 	851	98.81	Bacteria	NA	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Donor1_specific	Donor1 specific
