GCF_000091765.1	Chromosome
GCF_000160515.1	Scaffold
GCF_000161915.2	Scaffold
GCF_000162255.1	Scaffold
GCF_000162315.1	Scaffold
GCF_000165885.1	Scaffold
GCF_000176975.2	Scaffold
GCF_000177575.1	Contig
GCF_000301115.1	Scaffold
GCF_000301135.1	Scaffold
GCF_000466885.2	Contig
GCF_000497065.1	Contig
GCF_001311685.1	Contig
GCF_001434005.1	Scaffold
GCF_001541385.1	Contig
GCF_001541405.1	Contig
GCF_001541505.1	Contig
GCF_001541515.1	Scaffold
GCF_001541535.1	Contig
GCF_001541585.1	Contig
GCF_001546015.1	Scaffold
GCF_001546025.1	Scaffold
GCF_001563615.1	Scaffold
GCF_001567095.1	Contig
GCF_001700475.1	Scaffold
GCF_001704465.1	Contig
GCF_002088015.1	Scaffold
GCF_002218565.1	Contig
GCF_002218615.1	Scaffold
GCF_002218645.1	Scaffold
GCF_002218655.1	Contig
GCF_002218685.1	Scaffold
GCF_002218695.1	Scaffold
GCF_002218735.1	Contig
GCF_002218765.1	Contig
GCF_002218775.1	Contig
GCF_002218805.1	Contig
GCF_002218815.1	Scaffold
GCF_002218845.1	Scaffold
GCF_002218855.1	Scaffold
GCF_002218885.1	Scaffold
GCF_002218895.1	Scaffold
GCF_002218925.1	Scaffold
GCF_002218945.1	Scaffold
GCF_002218965.1	Scaffold
GCF_002218975.1	Scaffold
GCF_002219005.1	Scaffold
GCF_002219015.1	Scaffold
GCF_002219045.1	Scaffold
GCF_002219055.1	Scaffold
GCF_002219085.1	Scaffold
GCF_002811165.1	Scaffold
GCF_002861765.1	Scaffold
GCF_002861775.1	Scaffold
GCF_002861805.1	Contig
GCF_002861815.1	Scaffold
GCF_002863245.1	Scaffold
GCF_002863485.1	Scaffold
GCF_002863505.1	Scaffold
GCF_003795065.1	Complete Genome
GCF_003971565.1	Complete Genome
GCF_004103355.1	Contig
GCF_004334905.1	Scaffold
GCF_004361075.1	Contig
GCF_004361095.1	Contig
GCF_004361115.1	Contig
GCF_004361125.1	Scaffold
GCF_004361175.1	Scaffold
GCF_004361185.1	Scaffold
GCF_004361195.1	Scaffold
GCF_004361205.1	Scaffold
GCF_004361215.1	Contig
GCF_004361245.1	Scaffold
GCF_004361265.1	Contig
GCF_004361295.1	Scaffold
GCF_004361315.1	Contig
GCF_004361345.1	Scaffold
GCF_004361355.1	Contig
GCF_004361375.1	Scaffold
GCF_004361385.1	Contig
GCF_004361395.1	Contig
GCF_004361445.1	Scaffold
GCF_004361455.1	Contig
GCF_004361465.1	Scaffold
GCF_004361475.1	Contig
GCF_004361515.1	Scaffold
GCF_004361545.1	Contig
GCF_004361555.1	Scaffold
GCF_004361565.1	Scaffold
GCF_004361575.1	Scaffold
GCF_004361635.1	Contig
GCF_004681235.1	Contig
GCF_007713895.1	Contig
GCF_008079315.1	Contig
GCF_008694205.1	Contig
GCF_008694745.1	Scaffold
GCF_008694755.1	Contig
GCF_008694765.1	Contig
GCF_008694775.1	Contig
GCF_008694785.1	Contig
GCF_008694845.1	Contig
GCF_008694865.1	Contig
GCF_008694875.1	Contig
GCF_008694885.1	Contig
GCF_008694925.1	Contig
GCF_008694935.1	Contig
GCF_008694975.1	Contig
GCF_008694985.1	Contig
GCF_008868575.1	Contig
GCF_902386155.1	Contig
