""	"geneID"	"p"	"DONOR1"	"DONOR2"	"FMT1"	"FMT2"	"GFF_locus_tag"	"Centroid_gene_ID"	"Product"	"EC_number"	"Protein_id"	"geneID.1"	"koID"
"g000004"	"g000004"	0.000565610859728507	0	1	0	0.909090909090909	"GCF_000010005:FEBCHHGD_00291"	"GCF_000010005:NC_010609.1:312208-313784"	"16S ribosomal RNA"	""	NA	"g000031"	NA
"g000027"	"g000027"	0.0276341305753071	1	0	0.666666666666667	0.0909090909090909	"GCF_000010005:FEBCHHGD_01362"	"GCF_000010005:NC_010609.1:1321273-1321079"	"tRNA(Met) cytidine acetate ligase"	"6.3.4.-"	NA	"g000012"	""
"g000050"	"g000050"	0.0054137039431157	1	0	0.833333333333333	0.0909090909090909	"GCF_000016825:MPLAKPAB_00315"	"GCF_000016825:NC_009513.1:337333-338292"	"Beta-galactosidase small subunit"	"3.2.1.23"	NA	"g000069"	""
"g000052"	"g000052"	0.0294117647058823	0	0	0.5	0	"GCF_000016825:MPLAKPAB_00349"	"GCF_000016825:NC_009513.1:368010-365374"	"Aldehyde-alcohol dehydrogenase"	""	NA	"g000071"	"K04072"
"g000164"	"g000164"	0.00630252100840335	1	0	0.666666666666667	0	"GCF_000159455:FOEEPEMJ_00936"	"GCF_000159455:NC_015697.1:906349-905228"	"Aldehyde-alcohol dehydrogenase"	""	NA	"g000246"	"K04072"
"g000276"	"g000276"	0.00630252100840335	1	0	0.666666666666667	0	"GCF_000159475:FNHCNMPK_01016"	"GCF_000159475:NZ_ACGX02000006.1:6452-5034"	"IS66 family transposase ISRgn2"	""	NA	"g000292"	""
"g000279"	"g000279"	0.0345022624434389	0	1	0	0.636363636363636	"GCF_000159475:FNHCNMPK_01037"	"GCF_000159475:NZ_ACGX02000006.1:24933-28025"	"hypothetical protein"	""	NA	"g000284"	""
"g000320"	"g000320"	0.00630252100840335	1	0	0.666666666666667	0	"GCF_000159615:ANHLOJAM_00022"	"GCF_000159615:NZ_GG693701.1:3181-3813"	"hypothetical protein"	""	NA	"g000435"	""
"g000363"	"g000363"	0.0294117647058823	1	0	0.5	0	"GCF_000159615:ANHLOJAM_00676"	"GCF_000159615:NZ_GG693675.1:9932-12541"	"hypothetical protein"	""	NA	"g000395"	""
"g000413"	"g000413"	0.0090497737556561	0	1	0	0.727272727272727	"GCF_000159615:ANHLOJAM_01208"	"GCF_000159615:NZ_GG693669.1:53657-53848"	"hypothetical protein"	""	NA	"g000355"	""
