contigName	contigLen	totalAvgDepth	17119-05-01-243200068.sort.bam	17119-05-01-243200068.sort.bam-var	17119-05-02-243200066.sort.bam	17119-05-02-243200066.sort.bam-var	17119-05-03-243200095.sort.bam	17119-05-03-243200095.sort.bam-var	17119-05-04-243200101.sort.bam	17119-05-04-243200101.sort.bam-var	17119-05-05-243200087.sort.bam	17119-05-05-243200087.sort.bam-var	17119-05-06-243200069.sort.bam	17119-05-06-243200069.sort.bam-var	17119-05-07-243200099.sort.bam	17119-05-07-243200099.sort.bam-var	17119-05-08-243200071.sort.bam	17119-05-08-243200071.sort.bam-var	17119-05-09-243200070.sort.bam	17119-05-09-243200070.sort.bam-var	17119-05-10-243200096.sort.bam	17119-05-10-243200096.sort.bam-var	17119-05-11-243200091.sort.bam	17119-05-11-243200091.sort.bam-var	17119-05-12-243200081.sort.bam	17119-05-12-243200081.sort.bam-var	17119-05-13-243200076.sort.bam	17119-05-13-243200076.sort.bam-var	17119-05-14-243200089.sort.bam	17119-05-14-243200089.sort.bam-var	17119-05-15-243200093.sort.bam	17119-05-15-243200093.sort.bam-var	17119-05-16-243200072.sort.bam	17119-05-16-243200072.sort.bam-var	17119-05-17-243200086.sort.bam	17119-05-17-243200086.sort.bam-var	17119-05-18-243200100.sort.bam	17119-05-18-243200100.sort.bam-var	17119-05-19-243200062.sort.bam	17119-05-19-243200062.sort.bam-var	17119-05-20-243200063.sort.bam	17119-05-20-243200063.sort.bam-var	17119-05-21-243200075.sort.bam	17119-05-21-243200075.sort.bam-var	17119-05-22-243200094.sort.bam	17119-05-22-243200094.sort.bam-var	17119-05-23-243200073.sort.bam	17119-05-23-243200073.sort.bam-var	17119-05-24-243200088.sort.bam	17119-05-24-243200088.sort.bam-var	17119-05-25-243200085.sort.bam	17119-05-25-243200085.sort.bam-var	17119-05-26-243200098.sort.bam	17119-05-26-243200098.sort.bam-var	17119-05-27-243200083.sort.bam	17119-05-27-243200083.sort.bam-var	17119-05-28-243200078.sort.bam	17119-05-28-243200078.sort.bam-var	17119-05-30-243200082.sort.bam	17119-05-30-243200082.sort.bam-var	17119-05-31-243200080.sort.bam	17119-05-31-243200080.sort.bam-var	17119-05-32-243200092.sort.bam	17119-05-32-243200092.sort.bam-var	17119-05-33-243200064.sort.bam	17119-05-33-243200064.sort.bam-var	17119-05-34-243200097.sort.bam	17119-05-34-243200097.sort.bam-var	17119-05-35-243200067.sort.bam	17119-05-35-243200067.sort.bam-var	17119-05-36-243200079.sort.bam	17119-05-36-243200079.sort.bam-var	17119-05-37-243200074.sort.bam	17119-05-37-243200074.sort.bam-var	17119-05-38-243200077.sort.bam	17119-05-38-243200077.sort.bam-var	17119-05-39-243200084.sort.bam	17119-05-39-243200084.sort.bam-var	17119-05-40-243200090.sort.bam	17119-05-40-243200090.sort.bam-var	17119D-05-29-243200065.sort.bam	17119D-05-29-243200065.sort.bam-var
S3CNODE_1_length_665503_cov_191.731037||0_partial_1	35958	2569.23	0.737489	2.09904	1.0303	92.8422	309.233	5295.61	1.11897	149.109	61.9934	47347.1	1.27363	257.793	0.73101	86.1395	6.93892	698.016	3.4738	98.8226	0.998995	191.202	3.50843	212.519	96.388	365.514	1.96032	146.124	22.4059	6087.45	660.237	13963.1	0.396531	22.6971	0.476653	17.3748	157.074	929.578	11.0051	1402.61	3.41217	117.512	1.31105	42.3134	1.20375	161.559	15.075	3196.45	0.94208	299.466	1.38997	172.748	2.4039	63.7529	0.485366	0.708766	170.907	2027.2	0.666723	144.961	242.598	1680.91	28.1504	10205.6	45.9968	26031.4	13.538	34.2001	130.513	231525	450.92	5693.62	50.5133	32905.5	2.21585	1338.65	2.38779	69.4532	38.283	134.456	25.3354	8813.23
S3CNODE_45_length_66508_cov_237.821453||0_partial_1	11662	24678.2	168.28	1751.46	74.1547	1111.97	336.666	3830.47	1671.34	77203	12.8643	20.5887	2384.01	162885	1396.37	48629.2	453.294	6792.96	1322.5	62953.7	1832.99	91433.3	1321.88	47223.6	519.861	6329.33	1617.45	54608.2	7.70057	11.8995	1037.23	40715.9	24.8378	3112.7	533.265	7241.01	1182.11	35569.7	5.81975	10.1545	1453.83	51040.1	775.133	19202.7	1784.44	81373	2.51694	3.55551	53.7827	198.979	1542.64	69121.7	4.73801	4.74617	3.42443	6.03874	3.42417	3.8301	1576.68	65615.2	1.41148	1.52561	1.57245	2.18681	4.04395	9.88735	351.918	3309.17	1.49322	2.33011	1.38317	1.64219	3.04526	3.87953	376.521	20923.7	0.848245	1.14072	0.469163	0.574544	832.259	18421.4
S4CNODE_116_length_58703_cov_20.302329||0_partial_1	13297	1295.14	0.257245	0.300471	0.197612	0.250624	4.71971	55.0819	15.0692	83.2313	182.507	22858	1.11417	7.22883	3.97323	12.3067	29.0717	554.669	0.882102	3.8448	6.37111	25.4235	11.8026	184.034	22.3287	1982.3	4.41728	24.551	44.4486	799.792	2.47357	25.7228	380.931	37933.1	2.96927	12.3419	5.28699	68.3315	45.0058	644.712	0.240283	0.311371	2.25321	6.45991	0.136837	0.180928	29.05	333.204	0.0912756	0.104225	8.02913	134.06	53.5937	1674.16	10.9722	781.708	101.058	11950.6	5.86408	58.1991	8.52537	98.8814	52.0109	3025.51	1.81608	7.99333	122.49	26802.7	3.62729	15.9892	28.3942	1079.3	61.2195	1792.15	1.09021	3.12109	8.74237	55.5897	8.15943	73.2482	23.9528	445.419
S6CNODE_6_length_199167_cov_268.748639||0_partial_1	36711	290.19	0.228194	0.30637	0.298132	0.425755	0.201253	0.270423	0.164055	0.201047	0.489456	0.546957	267.82	11310.8	0.07415	0.0984381	0.0841334	0.102772	14.9292	54.4587	0.016493	0.0242367	0.0142502	0.0243818	0.316403	0.391838	0.0247258	0.030843	0.0288285	0.0375879	0.0329586	0.0566518	0	0	0.00823282	0.0104036	1.7101	3.37031	0	0	0.694374	1.67485	0.00798665	0.007921	1.94245	3.34803	0	0	0	0	0.860808	1.82456	0.00823282	0.0140674	0	0	0.00820547	0.0151365	0.0411641	0.0514069	0.00820547	0.00950146	0	0	0	0	0	0	0.000683789	0.000683135	0.123164	0.217877	0	0	0.053527	0.0740058	0	0	0.000683789	0.000683027	0	0
S6CNODE_92_length_54808_cov_12.315690||0_partial_1	14438	53.0684	0.0179171	0.0355301	0.0419933	0.0585756	0.0210666	0.036151	0.0657895	0.0865022	0.00713886	0.0142237	21.3617	357.181	0.0210666	0.032107	0.0211366	0.0366478	0	0	0	0	0	0	6.69051	35.0415	0.00272956	0.00272245	0	0	0.00265957	0.00265312	0	0	0.00293953	0.00293081	0.253499	0.749854	0.00909854	0.0181156	0	0	3.89558	315.91	0.00664894	0.011646	0	0	0.0105683	0.0104526	0.0610302	0.0874155	0	0	0	0	20.4789	325.439	0	0	0.0178471	0.0277358	0	0	0	0	0	0	0	0	0.00293953	0.0029303	0.00503919	0.00501505	0.0210666	0.035471	0.0166573	0.0706961	0.0328247	0.189236	0	0
S8CNODE_6_length_348708_cov_26.189848||0_partial_1	9554	97.5909	0.032114	0.0355541	0	0	0	0	0	0	0	0	0.0483837	0.0785732	0	0	21.5775	114.861	0.0640153	0.060556	0.031795	0.0307841	3.45789	9.77325	0.0319013	0.0432227	0.096023	0.148514	24.2636	96.5135	0	0	28.0906	147.303	0.143662	0.164079	0.0319013	0.0502326	14.5572	61.3724	0	0	1.97809	2.62254	0	0	0	0	0	0	0	0	0.0319013	0.0308816	0	0	0	0	0.00701829	0.0124993	0.317631	15.2422	0.0319013	0.0400326	0	0	0	0	0	0	0.0162697	0.0485594	0.952254	1.91891	0.032114	0.0310898	0	0	0	0	1.79711	3.83264
S8CNODE_38_length_173803_cov_154.790346||0_partial_1	38881	286.321	0.21244	0.243899	0.184684	0.243352	0.187757	0.258893	0.189202	0.300175	0.483721	0.768282	0.0746431	0.0814873	0.0841961	0.122593	263.814	4328.43	0.0582737	0.102555	0	0	6.07338	27.9389	0	0	0.0210168	0.0360281	0.00697116	0.0138982	0	0	0.0309829	0.036173	0	0	0	0	0	0	0	0	0.022127	0.0253552	0	0	0	0	0.0692985	0.0888362	0	0	0.0388578	0.0751864	0	0	0.00779737	0.0093378	0	0	0.079936	0.103112	0.0427823	0.0519525	0.00779737	0.0077368	0.0155689	0.023952	0	0	0.0155173	0.0211152	9.13852	23.8731	0	0	3.58976	5.6608	1.79476	4.00951	0.0777672	0.119766
S8CNODE_89_length_114242_cov_11.605752||0_partial_1	37053	44.0743	0.00612416	0.0122067	0.00815652	0.00808825	0	0	0.0245238	0.0246332	0.0326803	0.0437661	0.0244967	0.0303013	0.00807522	0.0125618	21.5098	54.63	0.00810232	0.00911923	0.00731648	0.0145843	3.66084	24.2791	0.00818362	0.00811463	0.00818362	0.0157578	0	0	0	0	0.00812942	0.0135361	0	0	0	0	0	0	0	0	1.73056	6.40147	0	0	0	0	0.00818362	0.0127738	0.00818362	0.00892697	0.146844	0.244671	0.00677452	0.013505	0	0	0	0	1.00919	5.18702	0.014091	0.0240335	0.0163401	0.0223005	1.87554	8.59078	0.0122483	0.0121009	10.6016	246.652	0.378966	0.720015	0.00409181	0.0040743	0.345392	0.581221	0.819825	2.03017	1.78186	4.38368
S8CNODE_349_length_48003_cov_6.612872||0_partial_1	9253	20.3794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.83203	15.4777	0	0	0	0	0.0991981	0.155309	0	0	0	0	0	0	0	0	0	0	0.066132	0.127908	0.213776	0.720905	3.47743	4.47884	0	0	1.66484	2.26549	0	0	0	0	0	0	0	0	0	0	0	0	0.032297	0.0576202	0	0	0	0	0	0	0	0	0	0	0	0	0.0455894	0.0804275	0.640338	1.01057	0	0	4.79963	8.9207	0.508184	1.99362	0	0
S10CNODE_7_length_165608_cov_79.245202||0_partial_1	30735	328.336	0.0343959	0.0433028	0.0689881	0.0713565	0.00987412	0.014417	0.0344286	0.0443628	0.00490436	0.00488638	0.00980873	0.0153356	0.00984143	0.0193714	17.971	55.6905	0.307667	0.423518	115.884	1233.82	4.32742	26.3412	0.202681	0.256133	0.48066	0.579444	60.2813	394.741	0.224031	0.317195	0.191761	0.234152	23.8472	83.6762	0.06889	0.0790394	5.65813	9.46772	0.0196502	0.0268987	2.5387	4.24676	0.00490436	0.0097902	0.00980873	0.0124558	0.0038254	0.00381114	0.208043	0.289723	55.3595	445.967	0.0984796	0.106921	0.117966	0.161915	0.0886055	0.0961703	0.0834396	0.107083	17.9675	33.9138	0.0590486	0.0909797	0.132124	0.264297	0	0	0.00944908	0.0128281	1.24048	8.72259	0.0196829	0.0253608	18.8192	67.9011	0.258493	2.6464	1.67952	3.24311
