Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g000001	GCF_000010005:NC_010609.1:1059344-1058670	GCF_000010005:FEBCHHGD_01089	IS3 family transposase ISWci1		
g000002	GCF_000010005:NC_010609.1:1086861-1087343	GCF_000010005:FEBCHHGD_01119	hypothetical protein		
g000003	GCF_000010005:NC_010609.1:1099079-1099573	GCF_000010005:FEBCHHGD_01128	Nitrogen fixation regulation protein FixK		
g000004	GCF_000010005:NC_010609.1:1099765-1099953	GCF_000010005:FEBCHHGD_01129	hypothetical protein		
g000005	GCF_000010005:NC_010609.1:1111558-1111746	GCF_000010005:FEBCHHGD_01140	hypothetical protein		
g000006	GCF_000010005:NC_010609.1:1123761-1123192	GCF_000010005:FEBCHHGD_01151	hypothetical protein		
g000007	GCF_000010005:NC_010609.1:112863-113789	GCF_000010005:FEBCHHGD_00098	FAD:protein FMN transferase	2.7.1.180	
g000008	GCF_000010005:NC_010609.1:1150102-1149011	GCF_000010005:FEBCHHGD_01171	ATP-dependent DNA helicase Rep	3.6.4.12	
g000009	GCF_000010005:NC_010609.1:1154960-1152942	GCF_000010005:FEBCHHGD_01173	hypothetical protein		
g000010	GCF_000010005:NC_010609.1:1201081-1199993	GCF_000010005:FEBCHHGD_01219	hypothetical protein		
g000011	GCF_000010005:NC_010609.1:1321092-1320139	GCF_000010005:FEBCHHGD_01361	tRNA(Met) cytidine acetate ligase	6.3.4.-	
g000012	GCF_000010005:NC_010609.1:1321273-1321079	GCF_000010005:FEBCHHGD_01362	tRNA(Met) cytidine acetate ligase	6.3.4.-	
g000013	GCF_000010005:NC_010609.1:1340959-1342461	GCF_000010005:FEBCHHGD_01387	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit	2.4.1.-	
g000014	GCF_000010005:NC_010609.1:1432532-1431918	GCF_000010005:FEBCHHGD_01482	Putative transposase InsK for insertion sequence element IS150		
g000015	GCF_000010005:NC_010609.1:1437020-1436784	GCF_000010005:FEBCHHGD_01490	hypothetical protein		
g000016	GCF_000010005:NC_010609.1:1441588-1437122	GCF_000010005:FEBCHHGD_01491	hypothetical protein		
g000017	GCF_000010005:NC_010609.1:1462704-1461388	GCF_000010005:FEBCHHGD_01508	hypothetical protein		
g000018	GCF_000010005:NC_010609.1:1511687-1509573	GCF_000010005:FEBCHHGD_01560	hypothetical protein		
g000019	GCF_000010005:NC_010609.1:1512336-1511719	GCF_000010005:FEBCHHGD_01561	hypothetical protein		
g000020	GCF_000010005:NC_010609.1:1519842-1519606	GCF_000010005:FEBCHHGD_01572	Copper chaperone CopZ		
g000021	GCF_000010005:NC_010609.1:1529422-1528304	GCF_000010005:FEBCHHGD_01579	hypothetical protein		
g000022	GCF_000010005:NC_010609.1:1551311-1550916	GCF_000010005:FEBCHHGD_01597	30S ribosomal protein S9		
g000023	GCF_000010005:NC_010609.1:157659-159338	GCF_000010005:FEBCHHGD_00138	Acetolactate synthase	2.2.1.6	
g000024	GCF_000010005:NC_010609.1:1584822-1584220	GCF_000010005:FEBCHHGD_01640	hypothetical protein		
g000025	GCF_000010005:NC_010609.1:1591879-1591238	GCF_000010005:FEBCHHGD_01650	Deoxyadenosine kinase	2.7.1.76	
g000026	GCF_000010005:NC_010609.1:1692670-1692554	GCF_000010005:FEBCHHGD_01749	hypothetical protein		
g000027	GCF_000010005:NC_010609.1:1706664-1706182	GCF_000010005:FEBCHHGD_01763	hypothetical protein		
g000028	GCF_000010005:NC_010609.1:1927151-1926216	GCF_000010005:FEBCHHGD_01987	Histidine decarboxylase proenzyme	4.1.1.22	
g000029	GCF_000010005:NC_010609.1:1964444-1963875	GCF_000010005:FEBCHHGD_02022	hypothetical protein		
g000030	GCF_000010005:NC_010609.1:2015845-2015585	GCF_000010005:FEBCHHGD_02080	hypothetical protein		
g000031	GCF_000010005:NC_010609.1:312208-313784	GCF_000010005:FEBCHHGD_00291	16S ribosomal RNA		
g000032	GCF_000010005:NC_010609.1:358323-359627	GCF_000010005:FEBCHHGD_00340	Beta-monoglucosyldiacylglycerol synthase	2.4.1.336	
g000033	GCF_000010005:NC_010609.1:43063-43218	GCF_000010005:FEBCHHGD_00044	hypothetical protein		
g000034	GCF_000010005:NC_010609.1:571106-572524	GCF_000010005:FEBCHHGD_00554	Cytochrome bd ubiquinol oxidase subunit 1	1.10.3.-	
g000035	GCF_000010005:NC_010609.1:737531-738460	GCF_000010005:FEBCHHGD_00736	Ribonuclease Z	3.1.26.11	
g000036	GCF_000010005:NC_010609.1:780371-781423	GCF_000010005:FEBCHHGD_00784	Heat-inducible transcription repressor HrcA		
g000037	GCF_000010005:NC_010609.1:805858-805115	GCF_000010005:FEBCHHGD_00809	Arginine transport ATP-binding protein ArtM		
g000038	GCF_000010005:NC_010609.1:839970-840212	GCF_000010005:FEBCHHGD_00841	Riboflavin transporter RibU		
g000039	GCF_000010005:NC_010609.1:888270-888641	GCF_000010005:FEBCHHGD_00899	hypothetical protein		
g000040	GCF_000010005:NC_010609.1:911205-914786	GCF_000010005:FEBCHHGD_00931	Chromosome partition protein Smc		
g000041	GCF_000010005:NC_010609.1:915379-916524	GCF_000010005:FEBCHHGD_00934	hypothetical protein		
g000042	GCF_000010005:NC_010609.1:956144-956323	GCF_000010005:FEBCHHGD_00972	putative ABC transporter ATP-binding protein		
g000043	GCF_000010005:NC_010609.1:956274-956942	GCF_000010005:FEBCHHGD_00973	Vegetative protein 296		
g000044	GCF_000010005:NC_010609.1:963290-962757	GCF_000010005:FEBCHHGD_00980	Oxygen regulatory protein NreC		
g000045	GCF_000016825:NC_009513.1:1119285-1118440	GCF_000016825:MPLAKPAB_01139	dTDP-4-dehydrorhamnose reductase	1.1.1.133	
g000046	GCF_000016825:NC_009513.1:1124149-1123178	GCF_000016825:MPLAKPAB_01145	IS200/IS605 family transposase ISEfa4		
g000047	GCF_000016825:NC_009513.1:1124352-1124098	GCF_000016825:MPLAKPAB_01146	hypothetical protein		
g000048	GCF_000016825:NC_009513.1:1160362-1160036	GCF_000016825:MPLAKPAB_01183	hypothetical protein		
g000049	GCF_000016825:NC_009513.1:1177299-1176589	GCF_000016825:MPLAKPAB_01197	hypothetical protein		
g000050	GCF_000016825:NC_009513.1:1178452-1178102	GCF_000016825:MPLAKPAB_01200	hypothetical protein		
g000051	GCF_000016825:NC_009513.1:1180705-1179974	GCF_000016825:MPLAKPAB_01203	ATP-dependent Clp protease proteolytic subunit	3.4.21.92	
g000052	GCF_000016825:NC_009513.1:1184024-1184197	GCF_000016825:MPLAKPAB_01206	hypothetical protein		
g000053	GCF_000016825:NC_009513.1:1184194-1184631	GCF_000016825:MPLAKPAB_01207	hypothetical protein		
g000054	GCF_000016825:NC_009513.1:1187468-1187370	GCF_000016825:MPLAKPAB_01212	hypothetical protein		
g000055	GCF_000016825:NC_009513.1:1192125-1191847	GCF_000016825:MPLAKPAB_01223	hypothetical protein		
g000056	GCF_000016825:NC_009513.1:1200018-1200335	GCF_000016825:MPLAKPAB_01239	hypothetical protein		
g000057	GCF_000016825:NC_009513.1:1307036-1304799	GCF_000016825:MPLAKPAB_01353	hypothetical protein		
g000058	GCF_000016825:NC_009513.1:1473305-1472991	GCF_000016825:MPLAKPAB_01528	hypothetical protein		
g000059	GCF_000016825:NC_009513.1:1493663-1492110	GCF_000016825:MPLAKPAB_01548	hypothetical protein		
g000060	GCF_000016825:NC_009513.1:1669206-1667440	GCF_000016825:MPLAKPAB_01730	Intracellular maltogenic amylase	3.2.1.-	
g000061	GCF_000016825:NC_009513.1:1674366-1672813	GCF_000016825:MPLAKPAB_01733	GMP synthase [glutamine-hydrolyzing]	6.3.5.2	
g000062	GCF_000016825:NC_009513.1:1713322-1711922	GCF_000016825:MPLAKPAB_01768	putative transporter		
g000063	GCF_000016825:NC_009513.1:1727373-1727786	GCF_000016825:MPLAKPAB_01785	hypothetical protein		
g000064	GCF_000016825:NC_009513.1:1871752-1872651	GCF_000016825:MPLAKPAB_01939	hypothetical protein		
g000065	GCF_000016825:NC_009513.1:1886559-1886035	GCF_000016825:MPLAKPAB_01952	hypothetical protein		
g000066	GCF_000016825:NC_009513.1:1925692-1925051	GCF_000016825:MPLAKPAB_01989	hypothetical protein		
g000067	GCF_000016825:NC_009513.1:1977187-1977513	GCF_000016825:MPLAKPAB_02048	hypothetical protein		
g000068	GCF_000016825:NC_009513.1:240329-241270	GCF_000016825:MPLAKPAB_00221	Exopolyphosphatase	3.6.1.11	
g000069	GCF_000016825:NC_009513.1:337333-338292	GCF_000016825:MPLAKPAB_00315	Beta-galactosidase small subunit	3.2.1.23	
g000070	GCF_000016825:NC_009513.1:362899-362669	GCF_000016825:MPLAKPAB_00344	hypothetical protein		
g000071	GCF_000016825:NC_009513.1:368010-365374	GCF_000016825:MPLAKPAB_00349	Aldehyde-alcohol dehydrogenase		
g000072	GCF_000016825:NC_009513.1:39016-39714	GCF_000016825:MPLAKPAB_00038	putative ABC transporter ATP-binding protein YknY	3.6.3.-	
g000073	GCF_000016825:NC_009513.1:408448-409833	GCF_000016825:MPLAKPAB_00390	Colistin resistance protein EmrB		
g000074	GCF_000016825:NC_009513.1:481166-480252	GCF_000016825:MPLAKPAB_00461	putative inner membrane transporter YicL		
g000075	GCF_000016825:NC_009513.1:622461-623114	GCF_000016825:MPLAKPAB_00605	hypothetical protein		
g000076	GCF_000016825:NC_009513.1:71543-71788	GCF_000016825:MPLAKPAB_00062	hypothetical protein		
g000077	GCF_000016825:NC_009513.1:71760-72164	GCF_000016825:MPLAKPAB_00063	GTP pyrophosphokinase YwaC	2.7.6.5	
g000078	GCF_000016825:NC_009513.1:740318-740740	GCF_000016825:MPLAKPAB_00746	hypothetical protein		
g000079	GCF_000016825:NC_009513.1:740756-741034	GCF_000016825:MPLAKPAB_00747	hypothetical protein		
g000080	GCF_000016825:NC_009513.1:872654-872250	GCF_000016825:MPLAKPAB_00877	hypothetical protein		
g000081	GCF_000016825:NC_009513.1:877735-878592	GCF_000016825:MPLAKPAB_00891	hypothetical protein		
g000082	GCF_000016825:NC_009513.1:885434-885937	GCF_000016825:MPLAKPAB_00909	hypothetical protein		
g000083	GCF_000016825:NC_009513.1:892326-892640	GCF_000016825:MPLAKPAB_00917	hypothetical protein		
g000084	GCF_000016825:NC_009513.1:89612-88356	GCF_000016825:MPLAKPAB_00079	IS200/IS605 family transposase ISLjo5		
g000085	GCF_000016825:NC_009513.1:933146-933748	GCF_000016825:MPLAKPAB_00954	Riboflavin synthase	2.5.1.9	
g000086	GCF_000159455:NC_015697.1:100066-98900	GCF_000159455:FOEEPEMJ_00105	Teichoic acid glycerol-phosphate transferase	2.7.8.45	
