rowname	Order	Family	Genus	source	mapping	mapping2	color
Achromobacter~phage~83-24	Caudovirales	Siphoviridae	Jwxvirus	vConTact2	Achromobacter	Others	#66A61E
Achromobacter~phage~JWAlpha	Caudovirales	Podoviridae	Jwalphavirus	vConTact2	Achromobacter	Others	#66A61E
Achromobacter~phage~JWF	Caudovirales	Siphoviridae	Unassigned	vConTact2	Achromobacter	Others	#66A61E
Achromobacter~phage~JWX	Caudovirales	Siphoviridae	Jwxvirus	vConTact2	Achromobacter	Others	#66A61E
Achromobacter~phage~phiAxp-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Achromobacter	Others	#66A61E
Achromobacter~phage~phiAxp-2	Caudovirales	Siphoviridae	Unassigned	vConTact2	Achromobacter	Others	#66A61E
Achromobacter~phage~phiAxp-3	Caudovirales	Podoviridae	Jwalphavirus	vConTact2	Achromobacter	Others	#66A61E
Acidianus~bottle-shaped~virus	Unassigned	Ampullaviridae	Ampullavirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~bottle-shaped~virus~2	Unassigned	Ampullaviridae	Ampullavirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~bottle-shaped~virus~3	Unassigned	Ampullaviridae	Ampullavirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~filamentous~virus~2	Ligamenvirales	Lipothrixviridae	Deltalipothrixvirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~filamentous~virus~3	Ligamenvirales	Lipothrixviridae	Betalipothrixvirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~filamentous~virus~6	Ligamenvirales	Lipothrixviridae	Betalipothrixvirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~filamentous~virus~7	Ligamenvirales	Lipothrixviridae	Betalipothrixvirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~filamentous~virus~8	Ligamenvirales	Lipothrixviridae	Betalipothrixvirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~filamentous~virus~9	Ligamenvirales	Lipothrixviridae	Betalipothrixvirus	vConTact2	Acidianus	Others	#66A61E
Acidianus~spindle-shaped~virus~1	Unassigned	Fuselloviridae	Betafusellovirus	vConTact2	Acidianus	Others	#66A61E
Acinetobacter~phage~AB1	Caudovirales	Myoviridae	Ap22virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~AB3	Caudovirales	Podoviridae	Fri1virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~AM101	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~AP22	Caudovirales	Myoviridae	Ap22virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~AbKT21phiIII	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~AbP2	Caudovirales	Myoviridae	Obolenskvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~AbTZA1	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~Abp1	Caudovirales	Podoviridae	Fri1virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~Ac42	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~Acj61	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~Acj9	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~Fri1	Caudovirales	Podoviridae	Fri1virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~IME-AB2	Caudovirales	Myoviridae	Ap22virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~IME200	Caudovirales	Podoviridae	Fri1virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~IMEAB3	Caudovirales	Siphoviridae	Lokivirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~KARL-1	Caudovirales	Myoviridae	Unassigned	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~LZ35	Caudovirales	Myoviridae	Obolenskvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~Loki	Caudovirales	Siphoviridae	Lokivirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~Petty	Caudovirales	Autographiviridae	Pettyvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~SH-Ab~15519	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~WCHABP1	Caudovirales	Myoviridae	Obolenskvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~WCHABP12	Caudovirales	Myoviridae	Obolenskvirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~WCHABP5	Caudovirales	Autographiviridae	Friunavirus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
Acinetobacter~phage~YMC-13-01-C62	Caudovirales	Myoviridae	Ap22virus	vConTact2	Acinetobacter	Acinetobacter	#7FC97F
