geneID	p	DONOR1	DONOR2	FMT1	FMT2	Product	EC_number	koID	ko_anno	module_ID	module_anno	pathway_ID	pathway_anno
g000004	0.000565610859728507	0	1	0	0.909090909090909	16S ribosomal RNA		NA	NA	NA	NA	NA	NA
g000027	0.0276341305753071	1	0	0.666666666666667	0.0909090909090909	tRNA(Met) cytidine acetate ligase	6.3.4.-		NA	NA	NA	NA	NA
g000050	0.0054137039431157	1	0	0.833333333333333	0.0909090909090909	Beta-galactosidase small subunit	3.2.1.23		NA	NA	NA	NA	NA
g000052	0.0294117647058823	0	0	0.5	0	Aldehyde-alcohol dehydrogenase		K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	NA	NA	path:map00010	Glycolysis / Gluconeogenesis
g000164	0.00630252100840335	1	0	0.666666666666667	0	Aldehyde-alcohol dehydrogenase		K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	NA	NA	path:map00010	Glycolysis / Gluconeogenesis
g000276	0.00630252100840335	1	0	0.666666666666667	0	IS66 family transposase ISRgn2			NA	NA	NA	NA	NA
g000279	0.0345022624434389	0	1	0	0.636363636363636	hypothetical protein			NA	NA	NA	NA	NA
g000320	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000363	0.0294117647058823	1	0	0.5	0	hypothetical protein			NA	NA	NA	NA	NA
g000413	0.0090497737556561	0	1	0	0.727272727272727	hypothetical protein			NA	NA	NA	NA	NA
g000415	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000463	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000485	0.0497737556561086	0	1	0.166666666666667	0.727272727272727	hypothetical protein			NA	NA	NA	NA	NA
g000494	0.00630252100840335	1	0	0.666666666666667	0	ISLre2 family transposase ISLre2			NA	NA	NA	NA	NA
g000589	0.0497737556561086	1	0	0.833333333333333	0.272727272727273	hypothetical protein			NA	NA	NA	NA	NA
g000603	0.000565610859728507	0	1	0	0.909090909090909	Colistin resistance protein EmrB			NA	NA	NA	NA	NA
g000654	0.0427440206851972	0	0	0	0.545454545454545	hypothetical protein			NA	NA	NA	NA	NA
g000687	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000688	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000690	0.00630252100840335	0	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000695	0.00630252100840335	0	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000696	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000698	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000701	0.0294117647058823	1	0	0.5	0	hypothetical protein			NA	NA	NA	NA	NA
g000702	0.0294117647058823	1	0	0.5	0	hypothetical protein			NA	NA	NA	NA	NA
g000703	0.0294117647058823	1	0	0.5	0	hypothetical protein			NA	NA	NA	NA	NA
g000775	0.00630252100840335	1	0	0.666666666666667	0	putative mannose-6-phosphate isomerase GmuF	5.3.1.8	K01809	manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]	md:M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	path:map00051	Fructose and mannose metabolism
g000779	0.0294117647058823	0	0	0.5	0	hypothetical protein			NA	NA	NA	NA	NA
g000780	0.0294117647058823	1	0	0.5	0	hypothetical protein			NA	NA	NA	NA	NA
g000796	0.0294117647058823	0	0	0.5	0	hypothetical protein			NA	NA	NA	NA	NA
g000800	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g000801	0.00630252100840335	1	0	0.666666666666667	0	Aminopeptidase E	3.4.22.-		NA	NA	NA	NA	NA
g000803	0.00630252100840335	1	0	0.666666666666667	0	Phenolic acid decarboxylase PadC	4.1.1.102	K13727	pdc; phenolic acid decarboxylase [EC:4.1.1.-]	NA	NA	NA	NA
g000983	0.00630252100840335	1	0	0.666666666666667	0	hypothetical protein			NA	NA	NA	NA	NA
g001090	0.0427440206851972	0	0	0	0.545454545454545	Peroxide-responsive repressor PerR		K09825	perR; Fur family transcriptional regulator, peroxide stress response regulator	NA	NA	NA	NA
g001105	0.0427440206851972	0	0	0	0.545454545454545	Beta-galactosidase LacZ	3.2.1.23	K12308	bgaB, lacA; beta-galactosidase [EC:3.2.1.23]	NA	NA	path:map00052	Galactose metabolism
g001154	0.0090497737556561	0	1	0	0.727272727272727	hypothetical protein			NA	NA	NA	NA	NA
