""	"geneID"	"p"	"DONOR1"	"DONOR2"	"FMT1"	"FMT2"	"GFF_locus_tag"	"Centroid_gene_ID"	"Product"	"EC_number"	"Protein_id"	"geneID.1"	"koID"
"g000125"	"g000125"	0.0336538461538462	1	0	0.555555555555556	0	"GCF_000091765:JDBANAHM_01359"	"GCF_000091765:NC_014106.1:1334473-1333799"	"Thiamine pyrophosphokinase"	"2.7.6.2"	NA	"g000042"	"K00949"
"g000161"	"g000161"	0.034965034965035	0	1	0.111111111111111	0.714285714285714	"GCF_000091765:JDBANAHM_01546"	"GCF_000091765:NC_014106.1:1525809-1525492"	"hypothetical protein"	""	NA	"g000080"	""
"g000167"	"g000167"	0.000874125874125875	1	1	1	0.142857142857143	"GCF_000091765:JDBANAHM_01585"	"GCF_000091765:NC_014106.1:1560214-1559807"	"KHG/KDPG aldolase"	""	NA	"g000086"	"K01625"
"g000193"	"g000193"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_000091765:JDBANAHM_01635"	"GCF_000091765:NC_014106.1:1617962-1617696"	"hypothetical protein"	""	NA	"g000110"	""
"g000220"	"g000220"	0.0013986013986014	0	1	0.111111111111111	1	"GCF_000091765:JDBANAHM_01770"	"GCF_000091765:NC_014106.1:1765274-1764390"	"Glucose-1-phosphate thymidylyltransferase"	"2.7.7.24"	NA	"g000140"	"K00973"
"g000223"	"g000223"	0.0013986013986014	0	1	0.111111111111111	1	"GCF_000091765:JDBANAHM_01780"	"GCF_000091765:NC_014106.1:1773942-1773499"	"hypothetical protein"	""	NA	"g000143"	""
"g000224"	"g000224"	0.0013986013986014	0	1	0.111111111111111	1	"GCF_000091765:JDBANAHM_01781"	"GCF_000091765:NC_014106.1:1774343-1774708"	"hypothetical protein"	""	NA	"g000144"	""
"g000263"	"g000263"	0.0336538461538462	1	0	0.555555555555556	0	"GCF_000091765:JDBANAHM_01943"	"GCF_000091765:NC_014106.1:1921845-1921447"	"hypothetical protein"	""	NA	"g000183"	""
"g000264"	"g000264"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_000091765:JDBANAHM_01945"	"GCF_000091765:NC_014106.1:1924116-1923286"	"hypothetical protein"	""	NA	"g000184"	""
"g000402"	"g000402"	8.74125874125873e-05	1	0	1	0	"GCF_000161915:JEFHMBLK_00797"	"GCF_000161915:NZ_KI391979.1:44086-44280"	"hypothetical protein"	""	NA	"g000422"	""
"g000421"	"g000421"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_000161915:JEFHMBLK_01065"	"GCF_000161915:NZ_KI391979.1:309817-309999"	"hypothetical protein"	""	NA	"g000411"	""
"g000478"	"g000478"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_000161915:JEFHMBLK_02047"	"GCF_000161915:NZ_KI391980.1:410224-409157"	"hypothetical protein"	""	NA	"g000469"	""
"g000479"	"g000479"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_000161915:JEFHMBLK_02049"	"GCF_000161915:NZ_KI391980.1:411168-410950"	"hypothetical protein"	""	NA	"g000470"	""
"g000591"	"g000591"	8.74125874125873e-05	0	1	0	1	"GCF_000162255:JPOGOHDH_01374"	"GCF_000162255:NZ_GG698760.1:291813-292124"	"IS982 family transposase ISLhe7"	""	NA	"g000518"	""
"g000616"	"g000616"	8.74125874125873e-05	1	0	1	0	"GCF_000162255:JPOGOHDH_01527"	"GCF_000162255:NZ_GG698760.1:444691-445179"	"hypothetical protein"	""	NA	"g000543"	""
"g000744"	"g000744"	8.74125874125873e-05	1	0	1	0	"GCF_000162315:MLHCLFKJ_00748"	"GCF_000162315:NZ_GG704613.1:87423-88484"	"hypothetical protein"	""	NA	"g000758"	""
"g000752"	"g000752"	0.034965034965035	0	1	0.111111111111111	0.714285714285714	"GCF_000162315:MLHCLFKJ_01011"	"GCF_000162315:NZ_GG704611.1:71470-72117"	"hypothetical protein"	""	NA	"g000749"	""
"g000786"	"g000786"	0.0113636363636364	1	1	0.333333333333333	1	"GCF_000162315:MLHCLFKJ_01588"	"GCF_000162315:NZ_GG704609.1:184651-183425"	"Lactate 2-monooxygenase"	"1.13.12.4"	NA	"g000720"	""
"g000922"	"g000922"	8.74125874125873e-05	1	0	1	0	"GCF_000165885:NEJECAEM_00755"	"GCF_000165885:NZ_GL531737.1:244359-244769"	"hypothetical protein"	""	NA	"g000903"	""
"g000923"	"g000923"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_000165885:NEJECAEM_00756"	"GCF_000165885:NZ_GL531737.1:244769-245896"	"hypothetical protein"	""	NA	"g000904"	""
"g000924"	"g000924"	8.74125874125873e-05	1	0	1	0	"GCF_000165885:NEJECAEM_00761"	"GCF_000165885:NZ_GL531737.1:248667-250334"	"hypothetical protein"	""	NA	"g000905"	""
"g000925"	"g000925"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_000165885:NEJECAEM_00764"	"GCF_000165885:NZ_GL531737.1:251204-251830"	"hypothetical protein"	""	NA	"g000906"	""
"g001318"	"g001318"	0.00323426573426573	0	1	0.222222222222222	1	"GCF_000177575:CEHOCBHH_00859"	"GCF_000177575:NZ_ADGR01000125.1:30518-30192"	"hypothetical protein"	""	NA	"g001344"	""
"g001424"	"g001424"	8.74125874125873e-05	1	0	1	0	"GCF_000301115:JFDAGFHO_00584"	"GCF_000301115:NZ_JH932287.1:591860-591171"	"Phosphate-binding protein PstS 1"	""	NA	"g001409"	"K02040"
"g001426"	"g001426"	8.74125874125873e-05	1	0	1	0	"GCF_000301115:JFDAGFHO_00624"	"GCF_000301115:NZ_JH932287.1:623826-624683"	"IS982 family transposase ISLhe7"	""	NA	"g001411"	""
"g001433"	"g001433"	8.74125874125873e-05	1	0	1	0	"GCF_000301115:JFDAGFHO_00761"	"GCF_000301115:NZ_JH932288.1:148427-148714"	"hypothetical protein"	""	NA	"g001414"	""
"g002461"	"g002461"	0.0192307692307692	0	0	0	0.571428571428571	"GCF_000466885:JHEEKNKJ_00568"	"GCF_000466885:NZ_AVFH02000276.1:11448-10939"	"Holliday junction resolvase RecU"	"3.1.22.4"	NA	"g002278"	"K03700"
"g002462"	"g002462"	0.0192307692307692	0	0	0	0.571428571428571	"GCF_000466885:JHEEKNKJ_00576"	"GCF_000466885:NZ_AVFH02000275.1:220-933"	"Transcription termination/antitermination protein NusA"	""	NA	"g002276"	""
