""	"geneID"	"p"	"DONOR1"	"DONOR2"	"FMT1"	"FMT2"	"GFF_locus_tag"	"Centroid_gene_ID"	"Product"	"EC_number"	"Protein_id"	"geneID"	"koID"
"g000001"	"g000001"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00027"	"GCF_000091765:NC_014106.1:25711-26073"	"hypothetical protein"	""	NA	"g000200"	""
"g000002"	"g000002"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00028"	"GCF_000091765:NC_014106.1:26758-30456"	"hypothetical protein"	""	NA	"g000206"	""
"g000003"	"g000003"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00033"	"GCF_000091765:NC_014106.1:35635-35453"	"hypothetical protein"	""	NA	"g000210"	""
"g000004"	"g000004"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00043"	"GCF_000091765:NC_014106.1:46426-45722"	"hypothetical protein"	""	NA	"g000215"	""
"g000005"	"g000005"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00044"	"GCF_000091765:NC_014106.1:46756-46481"	"hypothetical protein"	""	NA	"g000216"	""
"g000006"	"g000006"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00045"	"GCF_000091765:NC_014106.1:47664-46846"	"hypothetical protein"	""	NA	"g000217"	""
"g000007"	"g000007"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00046"	"GCF_000091765:NC_014106.1:47891-47721"	"hypothetical protein"	""	NA	"g000218"	""
"g000008"	"g000008"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00050"	"GCF_000091765:NC_014106.1:52381-52632"	"hypothetical protein"	""	NA	"g000227"	""
"g000009"	"g000009"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00055"	"GCF_000091765:NC_014106.1:60010-58958"	"Putative penicillin-binding protein PbpX"	""	NA	"g000240"	""
"g000010"	"g000010"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00056"	"GCF_000091765:NC_014106.1:61431-60241"	"hypothetical protein"	""	NA	"g000241"	""
"g000011"	"g000011"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00093"	"GCF_000091765:NC_014106.1:93121-93999"	"hypothetical protein"	""	NA	"g000264"	""
"g000012"	"g000012"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00128"	"GCF_000091765:NC_014106.1:125635-126372"	"Arginine transport ATP-binding protein ArtM"	""	NA	"g000031"	"K02028"
"g000013"	"g000013"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00133"	"GCF_000091765:NC_014106.1:130891-131676"	"hypothetical protein"	""	NA	"g000038"	""
"g000014"	"g000014"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00136"	"GCF_000091765:NC_014106.1:135934-137046"	"N-acetylgalactosamine-6-phosphate deacetylase"	"3.5.1.-"	NA	"g000043"	"K02079"
"g000015"	"g000015"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00143"	"GCF_000091765:NC_014106.1:144764-143961"	"Tyrosine-protein phosphatase"	"3.1.3.48"	NA	"g000058"	""
"g000016"	"g000016"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00144"	"GCF_000091765:NC_014106.1:144909-145394"	"Putative universal stress protein"	""	NA	"g000061"	""
"g000017"	"g000017"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00146"	"GCF_000091765:NC_014106.1:146722-146814"	"hypothetical protein"	""	NA	"g000070"	""
"g000018"	"g000018"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00153"	"GCF_000091765:NC_014106.1:151577-152974"	"hypothetical protein"	""	NA	"g000074"	""
"g000019"	"g000019"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00169"	"GCF_000091765:NC_014106.1:169947-169528"	"hypothetical protein"	""	NA	"g000126"	""
"g000020"	"g000020"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00171"	"GCF_000091765:NC_014106.1:170348-170620"	"hypothetical protein"	""	NA	"g000127"	""
"g000021"	"g000021"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00173"	"GCF_000091765:NC_014106.1:172869-174203"	"hypothetical protein"	""	NA	"g000128"	""
"g000022"	"g000022"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00179"	"GCF_000091765:NC_014106.1:180291-178819"	"S-layer protein"	""	NA	"g000163"	""
"g000023"	"g000023"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00180"	"GCF_000091765:NC_014106.1:180435-180872"	"hypothetical protein"	""	NA	"g000164"	""
"g000024"	"g000024"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00230"	"GCF_000091765:NC_014106.1:236021-235743"	"hypothetical protein"	""	NA	"g000197"	""
"g000025"	"g000025"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00236"	"GCF_000091765:NC_014106.1:241784-242305"	"hypothetical protein"	""	NA	"g000198"	""
"g000026"	"g000026"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00245"	"GCF_000091765:NC_014106.1:254533-256479"	"hypothetical protein"	""	NA	"g000199"	""
"g000027"	"g000027"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00253"	"GCF_000091765:NC_014106.1:262346-261774"	"hypothetical protein"	""	NA	"g000201"	""
"g000028"	"g000028"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00254"	"GCF_000091765:NC_014106.1:263065-262343"	"hypothetical protein"	""	NA	"g000202"	""
"g000029"	"g000029"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00258"	"GCF_000091765:NC_014106.1:265220-265597"	"hypothetical protein"	""	NA	"g000203"	""
"g000030"	"g000030"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00259"	"GCF_000091765:NC_014106.1:265624-266184"	"hypothetical protein"	""	NA	"g000204"	""
"g000031"	"g000031"	"1"	1	1	1	1	"GCF_000091765:JDBANAHM_00261"	"GCF_000091765:NC_014106.1:267539-267823"	"hypothetical protein"	""	NA	"g000205"	""
"g000032"	"g000032"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00289"	"GCF_000091765:NC_014106.1:298495-298965"	"hypothetical protein"	""	NA	"g000207"	""
"g000033"	"g000033"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00338"	"GCF_000091765:NC_014106.1:334862-335170"	"hypothetical protein"	""	NA	"g000208"	""
"g000034"	"g000034"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00350"	"GCF_000091765:NC_014106.1:343235-343074"	"hypothetical protein"	""	NA	"g000209"	""
"g000035"	"g000035"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00399"	"GCF_000091765:NC_014106.1:381192-381809"	"IS3 family transposase ISLhe6"	""	NA	"g000211"	""
"g000036"	"g000036"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00413"	"GCF_000091765:NC_014106.1:399541-399933"	"hypothetical protein"	""	NA	"g000212"	""
"g000037"	"g000037"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00427"	"GCF_000091765:NC_014106.1:413545-414165"	"dITP/XTP pyrophosphatase"	"3.6.1.66"	NA	"g000213"	"K02428"
"g000038"	"g000038"	"1"	1	1	1	1	"GCF_000091765:JDBANAHM_00428"	"GCF_000091765:NC_014106.1:414260-415228"	"hypothetical protein"	""	NA	"g000214"	""
"g000039"	"g000039"	"1"	1	1	1	1	"GCF_000091765:JDBANAHM_00524"	"GCF_000091765:NC_014106.1:489414-490478"	"hypothetical protein"	""	NA	"g000219"	""
"g000040"	"g000040"	"1"	0	0	0	0	"GCF_000091765:JDBANAHM_00528"	"GCF_000091765:NC_014106.1:492462-493142"	"Glycerophosphodiester phosphodiesterase, cytoplasmic"	"3.1.4.46"	NA	"g000220"	"K01126"
"g000041"	"g000041"	"1"	0	0	0.111111111111111	0	"GCF_000091765:JDBANAHM_00530"	"GCF_000091765:NC_014106.1:494344-495642"	"hypothetical protein"	""	NA	"g000221"	""
