Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g000001	GCF_000091765:NC_014106.1:1006211-1007503	GCF_000091765:JDBANAHM_01037	O-acetyltransferase OatA	2.3.1.-	
g000002	GCF_000091765:NC_014106.1:1044819-1044016	GCF_000091765:JDBANAHM_01080	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD	2.3.1.-	
g000003	GCF_000091765:NC_014106.1:1058810-1059421	GCF_000091765:JDBANAHM_01097	Tyrosine recombinase XerC		
g000004	GCF_000091765:NC_014106.1:1059360-1059719	GCF_000091765:JDBANAHM_01098	Tyrosine recombinase XerC		
g000005	GCF_000091765:NC_014106.1:1066624-1067367	GCF_000091765:JDBANAHM_01109	Amino-acid permease RocE		
g000006	GCF_000091765:NC_014106.1:1073453-1074712	GCF_000091765:JDBANAHM_01114	hypothetical protein		
g000007	GCF_000091765:NC_014106.1:1084594-1084875	GCF_000091765:JDBANAHM_01123	hypothetical protein		
g000008	GCF_000091765:NC_014106.1:1085117-1084836	GCF_000091765:JDBANAHM_01124	hypothetical protein		
g000009	GCF_000091765:NC_014106.1:1085371-1085183	GCF_000091765:JDBANAHM_01125	hypothetical protein		
g000010	GCF_000091765:NC_014106.1:1085398-1085598	GCF_000091765:JDBANAHM_01126	hypothetical protein		
g000011	GCF_000091765:NC_014106.1:1085664-1086263	GCF_000091765:JDBANAHM_01127	Pyridoxine/pyridoxal/pyridoxamine kinase	2.7.1.35	
g000012	GCF_000091765:NC_014106.1:1091848-1090895	GCF_000091765:JDBANAHM_01132	putative AAA domain-containing protein		
g000013	GCF_000091765:NC_014106.1:1092158-1091862	GCF_000091765:JDBANAHM_01133	Holliday junction ATP-dependent DNA helicase RuvB	3.6.4.12	
g000014	GCF_000091765:NC_014106.1:1099424-1101517	GCF_000091765:JDBANAHM_01141	hypothetical protein		
g000015	GCF_000091765:NC_014106.1:1107689-1108405	GCF_000091765:JDBANAHM_01145	hypothetical protein		
g000016	GCF_000091765:NC_014106.1:1109874-1110302	GCF_000091765:JDBANAHM_01148	hypothetical protein		
g000017	GCF_000091765:NC_014106.1:1114413-1114691	GCF_000091765:JDBANAHM_01152	hypothetical protein		
g000018	GCF_000091765:NC_014106.1:1114839-1115405	GCF_000091765:JDBANAHM_01153	hypothetical protein		
g000019	GCF_000091765:NC_014106.1:1117056-1118084	GCF_000091765:JDBANAHM_01157	hypothetical protein		
g000020	GCF_000091765:NC_014106.1:1119618-1120532	GCF_000091765:JDBANAHM_01160	hypothetical protein		
g000021	GCF_000091765:NC_014106.1:1120495-1121175	GCF_000091765:JDBANAHM_01161	Phosphatidylserine decarboxylase proenzyme 2	4.1.1.65	
